#Selection name: Partially_Includes_Tumor_Cells
#Area (µm^2): 4641531.53
Cell ID,Cluster,Transcripts,Area (µm^2)
calngcai-1,Cluster 1,0,61.07
calplmgn-1,Cluster 2,0,117.32
bmieblji-1,Cluster 2,0,73.65
bmifkkii-1,Cluster 2,0,45.67
canelfph-1,Cluster 2,0,95.49
ncpbbali-1,Cluster 3,0,50.48
ncpkdich-1,Cluster 1,0,41.55
oiadmgdn-1,Cluster 3,0,202.91
bmigbali-1,Cluster 2,0,143.03
ncpbfbgl-1,Cluster 3,0,38.98
bmhmblni-1,Cluster 1,0,33.56
bmibnhjp-1,Cluster 1,0,58.02
bmialfgd-1,Cluster 2,0,79.50
bmicpplf-1,Cluster 1,0,25.55
bmicnhlc-1,Cluster 1,0,47.04
bmicmpmb-1,Cluster 2,0,91.41
bmceejhe-1,Cluster 2,0,60.03
bmcckgee-1,Cluster 2,0,49.08
bmjhnmbm-1,Cluster 2,0,22.98
bmjiklbh-1,Cluster 2,0,175.17
bmjicldn-1,Cluster 2,0,176.62
bmcccfhd-1,Cluster 2,0,172.02
nbpnllik-1,Cluster 6,0,16.37
bmjijlgl-1,Cluster 2,0,19.07
ncpfjecp-1,Cluster 7,0,14.31
bmhnphmd-1,Cluster 2,0,90.86
canicfgn-1,Cluster 2,0,51.34
cankicnp-1,Cluster 2,0,45.86
canfpobl-1,Cluster 1,0,42.17
cankmfdk-1,Cluster 2,0,57.55
cangdpch-1,Cluster 1,0,34.03
ncpelpjj-1,Cluster 1,0,15.15
ncpdkjie-1,Cluster 6,0,46.60
bmhlpaff-1,Cluster 1,0,26.06
ncpffomc-1,Cluster 3,0,28.60
canghghp-1,Cluster 1,0,53.12
bmhnnacb-1,Cluster 1,0,32.78
camokdeo-1,Cluster 2,0,93.96
ncpijdmb-1,Cluster 1,0,10.05
camfjnll-1,Cluster 2,0,58.30
calnaocf-1,Cluster 2,0,101.59
neidefof-1,Cluster 3,0,23.22
ncpjnnih-1,Cluster 6,0,44.99
calkiknm-1,Cluster 1,0,47.43
calmcfik-1,Cluster 2,0,28.98
ncpheghc-1,Cluster 3,0,32.59
camfldeb-1,Cluster 2,0,142.85
cameenfj-1,Cluster 2,0,31.90
calpfkdj-1,Cluster 2,0,29.93
camanepb-1,Cluster 2,0,57.74
calnfbjk-1,Cluster 1,0,54.51
calphkdj-1,Cluster 2,0,64.74
cambcilk-1,Cluster 2,0,129.56
camhcmld-1,Cluster 2,0,51.44
camfpdeh-1,Cluster 2,0,52.78
camelgjb-1,Cluster 2,0,115.74
caleildf-1,Cluster 2,0,70.47
calefeop-1,Cluster 2,0,81.09
callbdee-1,Cluster 1,0,24.70
cammlhmo-1,Cluster 2,0,138.97
calkhamc-1,Cluster 2,0,55.96
camglcph-1,Cluster 2,0,83.71
camojjjj-1,Cluster 1,0,30.86
canfpdib-1,Cluster 2,0,39.16
canekoon-1,Cluster 2,0,50.34
ncpgfibo-1,Cluster 6,0,24.01
camofchm-1,Cluster 2,0,52.13
cankbhec-1,Cluster 1,0,38.77
canhaflg-1,Cluster 1,0,39.44
cancioog-1,Cluster 1,0,49.40
caneieji-1,Cluster 1,0,37.07
candhfkk-1,Cluster 1,0,28.92
cancpnod-1,Cluster 1,0,42.53
ncpehanl-1,Cluster 1,0,15.95
canfkdho-1,Cluster 1,0,43.30
ncpfojmj-1,Cluster 6,0,32.99
canhnkki-1,Cluster 2,0,58.04
neijcdjd-1,Cluster 6,0,39.05
camkopcj-1,Cluster 2,0,30.63
neijecih-1,Cluster 2,0,32.99
canfpnjk-1,Cluster 1,0,35.38
calhaagn-1,Cluster 6,0,96.86
canbngop-1,Cluster 2,0,66.59
camnfhjk-1,Cluster 2,0,71.68
canhmpkn-1,Cluster 1,0,36.96
camnhdbc-1,Cluster 1,0,41.45
canhofme-1,Cluster 1,0,67.39
camokcpc-1,Cluster 2,0,18.61
bmhbaedj-1,Cluster 2,0,99.35
bmkmkoln-1,Cluster 2,0,58.23
bmiggnpe-1,Cluster 2,0,60.35
bmklfnkm-1,Cluster 2,0,97.82
ncoljooj-1,Cluster 5,0,22.63
bmjmlpdp-1,Cluster 1,0,38.24
bmjlhfdh-1,Cluster 2,0,56.55
