#Selection name: Tumor_Enriched_Region
#Area (µm^2): 4970421.02
Cell ID,Cluster,Transcripts,Area (µm^2)
inkoccjo-1,Cluster 4,0,60.45
inkmgpmf-1,Cluster 1,0,7.12
inkpiiph-1,Cluster 4,0,69.98
inljbpld-1,Cluster 5,0,61.54
inlkaoni-1,Cluster 3,0,14.84
inlkgiio-1,Cluster 3,0,24.65
inlkbfog-1,Cluster 1,0,12.81
inlkignc-1,Cluster 3,0,77.42
inkeblaa-1,Cluster 3,0,66.41
inkjegjf-1,Cluster 5,0,75.84
ipgelgpd-1,Cluster 1,0,14.65
ipgfcedh-1,Cluster 3,0,31.98
ipgfjfif-1,Cluster 3,0,64.37
inkindmm-1,Cluster 5,0,43.18
inkdhpog-1,Cluster 1,0,29.24
inkljflh-1,Cluster 1,0,26.95
inkjiflf-1,Cluster 3,0,21.47
inliakoh-1,Cluster 4,0,39.51
inlaihnf-1,Cluster 4,0,61.44
inljkeec-1,Cluster 5,0,11.03
inlhdhlc-1,Cluster 4,0,85.57
inljjpej-1,Cluster 5,0,30.50
fnaeoodf-1,Cluster 4,0,60.54
inlnhbgk-1,Cluster 7,0,53.34
inlnmgbc-1,Cluster 5,0,73.54
inlmjjpi-1,Cluster 1,0,48.76
inlnhmhj-1,Cluster 1,0,50.82
inlihcgh-1,Cluster 5,0,65.04
inlkeeio-1,Cluster 1,0,25.11
iocjgglb-1,Cluster 1,0,46.29
ipijdmdn-1,Cluster 5,0,38.15
ipjacame-1,Cluster 1,0,25.30
ipjbjojj-1,Cluster 5,0,45.49
ipigfkfj-1,Cluster 6,0,53.51
ipifmldi-1,Cluster 3,0,36.58
ipiepkoh-1,Cluster 6,0,38.05
ipjbjkbn-1,Cluster 5,0,41.19
ipijogke-1,Cluster 5,0,27.52
ipiielol-1,Cluster 7,0,94.41
ipifhgkg-1,Cluster 3,0,12.46
ipimdido-1,Cluster 3,0,34.63
ipijiaen-1,Cluster 7,0,60.06
ipimobcf-1,Cluster 7,0,32.59
iockpamd-1,Cluster 3,0,19.71
ipjgmnhc-1,Cluster 5,0,44.37
iocoehdn-1,Cluster 1,0,62.89
iocnlbcj-1,Cluster 4,0,49.23
ipjhdeka-1,Cluster 3,0,48.36
ipjaahio-1,Cluster 5,0,109.50
ipjfodji-1,Cluster 5,0,85.39
ipiphkjk-1,Cluster 5,0,52.47
ipilnejo-1,Cluster 5,0,86.10
ipjboiha-1,Cluster 5,0,23.07
ipioiegl-1,Cluster 5,0,48.49
ipfjbcdl-1,Cluster 5,0,75.00
fmpmafje-1,Cluster 4,0,134.77
injhiaah-1,Cluster 3,0,50.95
injlback-1,Cluster 1,0,46.13
injklblf-1,Cluster 1,0,27.64
injhgghn-1,Cluster 5,0,51.09
injiecjn-1,Cluster 5,0,31.07
inkdcbof-1,Cluster 5,0,50.29
fmplabad-1,Cluster 1,0,67.68
ioannmkp-1,Cluster 5,0,24.36
iocjhohf-1,Cluster 7,0,25.58
fmplameb-1,Cluster 7,0,35.80
inkedffn-1,Cluster 5,0,92.23
injhbeip-1,Cluster 5,0,127.93
injhlbmb-1,Cluster 5,0,31.84
injghgcf-1,Cluster 3,0,31.05
injdbpom-1,Cluster 4,0,102.15
fnafbgip-1,Cluster 4,0,120.04
injdihhg-1,Cluster 1,0,69.43
injcdfda-1,Cluster 1,0,42.27
injebchn-1,Cluster 4,0,81.64
injchchb-1,Cluster 1,0,22.65
injealje-1,Cluster 4,0,116.67
injkpiol-1,Cluster 4,0,22.65
injcoboi-1,Cluster 5,0,46.21
ogmendak-1,Cluster 5,0,120.01
iobjpkep-1,Cluster 3,0,43.19
injkhgpa-1,Cluster 1,0,102.39
fmplfigc-1,Cluster 1,0,46.09
inkbehbc-1,Cluster 1,0,25.94
inkcghin-1,Cluster 1,0,24.77
inkbmped-1,Cluster 1,0,65.74
injmlgop-1,Cluster 1,0,22.67
ioamhnhd-1,Cluster 1,0,83.83
ioaojjim-1,Cluster 1,0,23.41
injpccbj-1,Cluster 1,0,32.80
