#Selection name: Tumor_Free_Left
#Area (µm^2): 2387159.80
Cell ID,Cluster,Transcripts,Area (µm^2)
illlglke-1,Cluster 3,0,25.79
illjjnao-1,Cluster 1,0,22.60
illkfgmb-1,Cluster 3,0,61.41
illokibf-1,Cluster 6,0,29.82
ilmgjpcf-1,Cluster 7,0,22.40
ilmfehkf-1,Cluster 3,0,69.21
illojahm-1,Cluster 6,0,53.97
ilihcjdo-1,Cluster 5,0,38.31
illlfmni-1,Cluster 5,0,8.70
ilmknbdl-1,Cluster 6,0,51.45
illkifhh-1,Cluster 1,0,47.94
iligcdje-1,Cluster 6,0,30.50
ilmkioaa-1,Cluster 3,0,37.12
ilmlbcji-1,Cluster 3,0,21.63
illkjbii-1,Cluster 5,0,41.45
ilhglidm-1,Cluster 3,0,61.98
illkhhaa-1,Cluster 5,0,69.67
hpjpinpm-1,Cluster 3,0,26.70
illkmddp-1,Cluster 3,0,26.36
ilhfmgeo-1,Cluster 3,0,29.87
hecabkie-1,Cluster 3,0,79.81
iaphdjna-1,Cluster 7,0,19.78
hpmgjpgc-1,Cluster 5,0,47.07
hcoklgbn-1,Cluster 7,0,32.49
iekfpgig-1,Cluster 3,0,12.25
iaokjjbj-1,Cluster 3,0,31.06
iaoechdf-1,Cluster 7,0,20.39
iaogefib-1,Cluster 3,0,26.45
ifgndpbf-1,Cluster 5,0,24.91
ifgnonik-1,Cluster 3,0,10.63
ifhbpeij-1,Cluster 7,0,28.59
iamdajaj-1,Cluster 3,0,33.81
hehocobc-1,Cluster 5,0,43.46
heinebhg-1,Cluster 5,0,38.46
iaofdnom-1,Cluster 1,0,16.95
iamebcfo-1,Cluster 5,0,26.38
ifhacajo-1,Cluster 3,0,33.39
ifgmncoj-1,Cluster 7,0,34.31
iaofbahm-1,Cluster 1,0,11.68
ilmnkljd-1,Cluster 7,0,22.39
ilmofnfp-1,Cluster 6,0,28.46
ilmdoaah-1,Cluster 1,0,32.36
hpnchepd-1,Cluster 3,0,33.22
hpnjkgon-1,Cluster 5,0,21.25
hpnhomjo-1,Unassigned,0,23.25
hpnimfgf-1,Cluster 1,0,8.60
hpjpjped-1,Cluster 1,0,35.45
hpmfmokf-1,Cluster 5,0,47.52
hpmjcloa-1,Cluster 3,0,35.58
iankgfhe-1,Cluster 3,0,22.59
agaofngh-1,Cluster 1,0,42.76
iaodojjm-1,Cluster 3,0,58.50
iaodomde-1,Cluster 6,0,29.36
iapoblkc-1,Cluster 1,0,7.64
iappdmja-1,Cluster 1,0,23.57
iappejgl-1,Cluster 3,0,30.07
iapoipdj-1,Cluster 6,0,27.18
iekfakjb-1,Cluster 5,0,71.31
iejbjlej-1,Cluster 3,0,28.26
iejagnjf-1,Cluster 3,0,28.65
iekelmap-1,Cluster 7,0,27.38
iappeodh-1,Cluster 1,0,13.58
iekfecci-1,Cluster 5,0,78.43
iekdnkap-1,Cluster 7,0,28.02
heimpfkn-1,Cluster 5,0,88.31
iejopmci-1,Cluster 5,0,34.97
hcokjndi-1,Cluster 3,0,24.98
hpmjihka-1,Cluster 3,0,33.53
hcpbobok-1,Cluster 3,0,50.68
hpomlkgk-1,Cluster 7,0,41.24
hpmndipa-1,Cluster 3,0,40.70
hpmkopgo-1,Cluster 3,0,8.62
hpkaciko-1,Cluster 3,0,37.18
hpmhflkk-1,Cluster 3,0,28.14
hpmjibim-1,Cluster 1,0,14.61
hpkafbae-1,Cluster 1,0,49.65
oghppnni-1,Cluster 1,0,9.61
hpmijblo-1,Cluster 7,0,26.45
iankjbjj-1,Cluster 5,0,8.38
ilmhdimd-1,Cluster 1,0,17.17
ilighbjo-1,Cluster 5,0,46.02
iligflll-1,Cluster 5,0,44.46
ilmjdpch-1,Cluster 3,0,69.79
ilmobdco-1,Cluster 3,0,41.37
iligdcfl-1,Cluster 6,0,49.22
ilmhmfca-1,Cluster 7,0,45.63
ilighanm-1,Cluster 3,0,34.25
ilieobcc-1,Cluster 6,0,61.45
ilmmgegl-1,Cluster 6,0,27.92
ogmadoeg-1,Cluster 1,0,3.79
hebnabah-1,Cluster 3,0,28.45
hecgmafk-1,Cluster 3,0,55.57
hebmmihd-1,Cluster 3,0,39.49
hebiblhj-1,Cluster 3,0,45.93
hebmcnoi-1,Cluster 7,0,40.08
hebjppdo-1,Cluster 3,0,27.73
hconmchl-1,Cluster 5,0,80.02
iejangce-1,Cluster 1,0,36.68
hpmenlpm-1,Cluster 5,0,50.53
hpmfmmnj-1,Cluster 5,0,32.59
iapobfcb-1,Cluster 5,0,34.86
heipifil-1,Cluster 3,0,36.16
heioneih-1,Cluster 3,0,36.82
ogclpgia-1,Cluster 1,0,4.23
iekcmghp-1,Cluster 5,0,65.25
iejoabke-1,Cluster 1,0,17.85
iejcbkac-1,Cluster 7,0,26.51
iekgpcad-1,Cluster 1,0,17.10
iekffdag-1,Cluster 1,0,12.58
iejdbnpm-1,Cluster 3,0,59.25
iejceimb-1,Cluster 3,0,24.93
iekbileo-1,Cluster 5,0,18.52
hcoefhkc-1,Cluster 5,0,123.28
hpldhfac-1,Cluster 5,0,29.75
hpjphnia-1,Cluster 5,0,44.87
hpoemepp-1,Cluster 1,0,31.20
hpmfilgi-1,Cluster 5,0,42.03
hpkanncg-1,Cluster 5,0,31.75
hpknjdmb-1,Cluster 3,0,12.18
hpmdpmdk-1,Cluster 7,0,22.40
hpjaheof-1,Cluster 3,0,10.21
hponaaol-1,Cluster 3,0,36.87
hpombdkc-1,Cluster 1,0,26.33
hpmjgidg-1,Cluster 3,0,11.51
hpmdmdod-1,Cluster 5,0,49.74
ibaacmgp-1,Cluster 1,0,38.75
ibaaofff-1,Cluster 3,0,30.94
iapilmkm-1,Cluster 5,0,21.63
iekiincd-1,Cluster 1,0,39.12
iekjmpol-1,Cluster 3,0,12.02
ibaaeegg-1,Cluster 5,0,26.99
iekhkahi-1,Cluster 1,0,37.95
heiebiml-1,Cluster 5,0,35.61
iekiadng-1,Cluster 5,0,19.89
iekbjnif-1,Cluster 3,0,23.82
iekbfhhc-1,Cluster 3,0,32.04
iejbjkdn-1,Cluster 1,0,156.51
iekhakpn-1,Cluster 3,0,16.18
iejanink-1,Cluster 1,0,229.58
hcpbongj-1,Cluster 3,0,56.95
hcogdbnk-1,Cluster 5,0,58.60
hpoedjae-1,Cluster 1,0,24.00
hcodkamo-1,Cluster 5,0,55.53
hcpcepjm-1,Cluster 5,0,47.39
hpjcjplg-1,Cluster 3,0,30.80
hplijhhp-1,Cluster 1,0,52.77
hpllhali-1,Cluster 3,0,24.86
hpofamfn-1,Cluster 3,0,36.08
hplkdebd-1,Cluster 5,0,27.17
hpmgfaif-1,Cluster 5,0,41.24
hplinoao-1,Cluster 5,0,27.06
iaobpdin-1,Cluster 5,0,34.80
agfnpoag-1,Cluster 1,0,27.75
hddjkcgg-1,Cluster 5,0,59.33
hechcplc-1,Cluster 3,0,31.24
hecidoid-1,Cluster 1,0,53.06
hecloahd-1,Cluster 5,0,39.88
hcokfoek-1,Cluster 5,0,40.89
hedbgjha-1,Cluster 5,0,35.60
hechknda-1,Cluster 5,0,39.10
hecifhkk-1,Cluster 5,0,31.58
heblmnnj-1,Cluster 1,0,19.20
hecgkhco-1,Cluster 3,0,46.15
hecljafa-1,Cluster 5,0,50.49
hddmnpoe-1,Cluster 5,0,29.31
hddmfpel-1,Cluster 5,0,34.72
hddkhhln-1,Cluster 1,0,21.70
hddeljal-1,Cluster 5,0,23.99
hcolbjlh-1,Cluster 5,0,51.75
hddelccj-1,Cluster 5,0,33.57
hecmeakp-1,Cluster 5,0,69.53
hconggbd-1,Cluster 5,0,23.54
hedcgpic-1,Cluster 5,0,30.27
hedblphg-1,Cluster 3,0,32.88
hdpogmkh-1,Cluster 3,0,45.61
ibdckffc-1,Cluster 5,0,19.26
hpknobkp-1,Cluster 3,0,59.31
hplnckfn-1,Cluster 3,0,21.73
