NMNAT1	1	9943428	9985501
MMEL1	1	2590639	2633016
ZBTB40	1	22428838	22531157
SLC9A1	1	27098809	27166981
AJAP1	1	4654609	4792534
PTAFR	1	28147166	28193936
TNFRSF1B	1	12166991	12209228
UBE4B	1	10032832	10181239
PLA2G5	1	20028179	20091911
PTPRU	1	29236516	29326813
CASZ1	1	10636604	10796650
GRIK3	1	36795527	37034515
PADI4	1	17308195	17364004
RLF	1	40161387	40240921
GNL2	1	37566816	37595937
MYCBP	1	38862493	38873368
RIMS3	1	40620680	40665682
ZYG11B	1	52726453	52827336
TTC4	1	54715861	54742657
KLF17	1	44118821	44135140
TCEANC2	1	54053584	54112519
GIPC2	1	77979542	78138444
ANGPTL3	1	62597520	62606313
ADGRL4	1	78889764	79282124
PTGFR	1	78303884	78540701
ABCD3	1	94418389	94518666
BCAR3	1	93561741	93847150
BARHL2	1	90711539	90717302
VAV3	1	107571161	107965180
S1PR1	1	101236865	101243713
OLFML3	1	113979391	114035572
GCLM	1	93885199	93909456
TGFBR3	1	91680343	91906335
LPAR3	1	84811602	84893206
CTTNBP2NL	1	112396214	112463456
SLC6A17	1	110150494	110202202
PTGFRN	1	116909916	116990353
ZNF326	1	89995110	90035533
TENT5C	1	117606048	117628389
SYCP1	1	114854863	114995370
SPAG17	1	117953590	118185228
MAGI3	1	113390515	113685923
CD2	1	116754430	116769229
CSF1	1	109910242	109930992
LAMC1	1	183023420	183145592
XCL2	1	168540768	168543997
POU2F1	1	167220876	167427345
METTL18	1	169792529	169794963
NIBAN1	1	184790724	184974508
LAMC2	1	183186238	183245127
NR5A2	1	200027614	200177420
MPZL1	1	167721192	167791919
SELE	1	169722640	169764705
SELL	1	169690665	169711702
RGS5	1	163111121	163321791
PRRX1	1	170662728	170739421
SOAT1	1	179293714	179358680
CNST	1	246566444	246668595
ILDR2	1	166895711	166975540
RRP15	1	218285293	218337983
NEK2	1	211658657	211675630
DHX9	1	182839347	182887982
GNPAT	1	231241207	231277973
TGFB2	1	218345336	218444619
ODR4	1	186375838	186421378
EGLN1	1	231363751	231422287
PAPPA2	1	176463171	176845601
PLA2G4A	1	186828949	186988981
SELP	1	169588849	169630193
LAMB3	1	209614870	209652425
NOS1AP	1	162069691	162370475
XPR1	1	180632022	180890279
ZNF281	1	200404940	200410056
SH3BP5L	1	248810446	248825915
SMYD3	1	245749342	246507312
ZC3H12A	1	37474580	37484377
RBM34	1	235131183	235161283
HMCN1	1	185734391	186190949
CDA	1	20589086	20618903
PINK1	1	20633458	20651511
CTH	1	70411218	70439851
PITHD1	1	23778418	23788232
GALE	1	23795599	23800781
DUSP23	1	159780932	159782543
SLAMF8	1	159826811	159837492
ATP1A1	1	116372668	116410261
KRTCAP2	1	155169408	155173475
GBA	1	155234452	155244699
HCN3	1	155277463	155289848
CD34	1	207880972	207911402
PGD	1	10398592	10420511
SMPDL3B	1	27935000	27959157
TESK2	1	45343883	45491163
MMACHC	1	45500300	45513382
CHRM3	1	239386565	239915452
DAP3	1	155687960	155739010
CCT3	1	156308968	156367873
FOXE3	1	47416285	47418052
IGSF3	1	116574399	116667755
CORT	1	10450031	10451998
LEPR	1	65420652	65641559
PSMD4	1	151254709	151267479
FOXD2	1	47438044	47440691
PRG4	1	186296279	186314567
NPPB	1	11857464	11858945
MIIP	1	12019466	12032045
TNFRSF8	1	12063303	12144207
RBBP4	1	32651142	32686211
HPCA	1	32885994	32898441
UFC1	1	161152776	161158856
ADAMTS4	1	161184302	161199054
GJA5	1	147756199	147773362
MFN2	1	11980181	12015211
ZMPSTE24	1	40258041	40294180
