,geometry,objectType,name,color
58,"POLYGON ((20842.09 26700.12, 20541.62 26709.72, 20240.78 26719.72, 19939.54 26729.73, 19708.88 26737.14, 19638 26739.77, 19612.95 26740.69, 19626.8 27037.46, 19640.7 27334.28, 19654.61 27630.75, 19668.44 27926.89, 19669.72 27952.21, 19970.21 27941.48, 20270.72 27930.78, 20570.89 27920.43, 20870.68 27909.74, 20895.57 27909.13, 20882.43 27613.72, 20869.31 27317.97, 20856.11 27021.93, 20842.96 26725.5, 20842.09 26700.12))",annotation,plate4_6C,[102   0 102]
59,"POLYGON ((10330.11 36549.19, 10022 36564.83, 9713.53 36580.88, 9404.68 36596.94, 9168.17 36608.95, 9095.46 36613, 9069.81 36614.43, 9089.68 36906.83, 9109.59 37199.26, 9129.45 37491.38, 9149.31 37783.16, 9151.11 37808.09, 9459.24 37791.36, 9767.32 37774.6, 10075.06 37757.88, 10382.46 37741.14, 10407.95 37740.06, 10388.84 37448.99, 10369.75 37157.59, 10350.6 36865.88, 10331.43 36573.84, 10330.11 36549.19))",annotation,plate4_2G,[102   0 102]
61,"POLYGON ((13574.08 44197.22, 13274.17 44217.14, 12973.99 44237.39, 12673.39 44257.7, 12443.21 44272.99, 12372.49 44278.02, 12347.49 44279.79, 12365.18 44561.97, 12382.83 44844.16, 12400.5 45126.05, 12418.15 45407.64, 12419.77 45432.08, 12719.62 45411.13, 13019.5 45390.2, 13319.03 45369.29, 13618.19 45348.39, 13643.42 45346.91, 13626.14 45066, 13609.16 44784.78, 13592.2 44503.23, 13575.24 44221.38, 13574.08 44197.22))",annotation,plate4_11A,[102   0 102]
62,"POLYGON ((13952.11 50482.08, 13656.18 50505.42, 13359.9 50529.16, 13063.24 50552.89, 12836.08 50570.85, 12766.29 50576.68, 12741.62 50578.74, 12758.84 50853.98, 12776.09 51129.27, 12793.32 51404.24, 12810.54 51678.92, 12812.1 51702.39, 13108.03 51678.04, 13403.99 51653.68, 13699.6 51629.33, 13994.87 51605.03, 14019.38 51603.28, 14002.87 51329.23, 13986.34 51054.89, 13969.79 50780.23, 13953.25 50505.28, 13952.11 50482.08))",annotation,plate4_12E,[255 255   0]
63,"POLYGON ((20182.81 42450.15, 19890.03 42468.79, 19596.95 42487.82, 19303.52 42506.87, 19079.2 42521.17, 19009.75 42525.95, 18985.75 42527.59, 18999.23 42807.68, 19013.06 43087.84, 19026.91 43367.64, 19040.71 43647.17, 19042 43671.42, 19334.77 43651.75, 19627.5 43632.06, 19919.96 43612.41, 20212.01 43592.78, 20236.66 43591.38, 20223.14 43312.55, 20209.98 43033.38, 20196.81 42753.89, 20183.66 42474.12, 20182.81 42450.15))",annotation,plate4_6H,[  0 255   0]
64,"POLYGON ((16902.79 30907.13, 16599.73 30919.28, 16296.32 30931.86, 15992.54 30944.43, 15760.26 30953.78, 15688.39 30957.02, 15663.51 30958.15, 15679.25 31252.73, 15695.37 31547.33, 15711.45 31841.63, 15727.57 32135.57, 15729.04 32160.71, 16032.06 32147.44, 16335.17 32134.14, 16637.86 32121.28, 16940.23 32108.02, 16965.69 32107.18, 16949.98 31813.98, 16934.58 31520.42, 16919.22 31226.54, 16903.82 30932.33, 16902.79 30907.13))",annotation,plate4_1F,[102   0 102]
65,"POLYGON ((11769.02 37765.61, 11463.36 37781.9, 11157.36 37798.61, 10850.99 37815.32, 10616.76 37827.83, 10544.25 37832.05, 10519.19 37833.52, 10537.76 38123.73, 10556.75 38413.97, 10575.72 38703.89, 10594.63 38993.47, 10596.35 39018.23, 10902.01 39000.83, 11207.64 38983.45, 11512.96 38966.07, 11817.84 38948.71, 11843.55 38947.54, 11824.96 38658.68, 11806.77 38369.46, 11788.53 38079.92, 11770.3 37790.07, 11769.02 37765.61))",annotation,plate4_2G,[102   0 102]
67,"POLYGON ((8533.18 50914.76, 8230.84 50938.62, 7928.09 50962.86, 7625 50986.77, 7392.91 51005.12, 7321.57 51011.08, 7296.36 51013.18, 7316.81 51291.15, 7337.26 51569.15, 7357.68 51846.85, 7378.09 52124.25, 7379.95 52148.32, 7682.26 52123.44, 7984.66 52098.55, 8286.67 52073.68, 8588.32 52048.84, 8613.37 52047.06, 8593.7 51770.29, 8574 51493.23, 8554.29 51215.87, 8534.55 50938.2, 8533.18 50914.76))",annotation,plate4_1G,[255 255   0]
69,"POLYGON ((27607.94 29123.25, 27317.01 29134.12, 27025.75 29145.39, 26734.17 29156.66, 26511.17 29165.02, 26442.18 29167.96, 26418.3 29168.96, 26427.8 29458.92, 26437.65 29748.93, 26447.54 30038.61, 26457.4 30327.96, 26458.33 30352.71, 26749.23 30340.76, 27040.22 30328.8, 27330.84 30316.87, 27621.08 30304.95, 27645.54 30304.22, 27636.03 30015.58, 27626.84 29726.6, 27617.64 29437.3, 27608.44 29147.69, 27607.94 29123.25))",annotation,plate4_3D,[128   0 128]
70,"POLYGON ((8353.52 48382.23, 8049.55 48404.7, 7745.2 48427.53, 7440.49 48450.41, 7207.12 48467.7, 7135.42 48473.33, 7110.08 48475.33, 7130.7 48756.1, 7151.36 49036.91, 7172.02 49317.42, 7192.6 49597.61, 7194.46 49621.57, 7498.43 49598.07, 7802.43 49574.55, 8106.12 49551.43, 8409.36 49527.96, 8434.55 49526.3, 8414.68 49246.76, 8394.82 48966.9, 8374.87 48686.73, 8354.97 48406.29, 8353.52 48382.23))",annotation,plate4_1E,[255 255   0]
71,"POLYGON ((24909.17 27932.76, 24614.36 27943, 24319.17 27953.61, 24023.58 27963.91, 23797.26 27971.78, 23727.72 27974.55, 23703.14 27975.54, 23714.57 28268.44, 23726.04 28561.4, 23737.49 28854.04, 23748.93 29146.35, 23750.02 29171.72, 24044.87 29160.37, 24339.74 29149.02, 24634.26 29137.71, 24928.43 29126.39, 24952.85 29125.72, 24942.1 28834.16, 24931.38 28542.22, 24920.58 28250, 24909.83 27957.43, 24909.17 27932.76))",annotation,plate4_10E,[102   0 102]
72,"POLYGON ((27524.26 26479.95, 27231.82 26489.31, 26939.04 26499.04, 26645.9 26508.78, 26421.43 26515.99, 26352.45 26518.54, 26328.07 26519.44, 26338.01 26812.32, 26347.99 27105.27, 26357.92 27397.86, 26367.91 27690.14, 26368.85 27715.12, 26661.3 27704.71, 26953.78 27694.27, 27245.87 27683.84, 27537.68 27673.43, 27561.9 27672.84, 27552.63 27381.26, 27543.35 27089.4, 27534.06 26797.18, 27524.76 26504.63, 27524.26 26479.95))",annotation,plate4_4E,[128   0 128]
74,"POLYGON ((17108.95 34850.01, 16808.32 34864.47, 16507.29 34879.3, 16205.92 34893.8, 15975.52 34904.9, 15904.23 34908.67, 15879.52 34909.99, 15895.01 35200.14, 15910.9 35490.31, 15926.76 35780.19, 15942.61 36069.71, 15944.08 36094.82, 16244.72 36079.29, 16545.38 36063.74, 16845.69 36048.25, 17145.63 36032.73, 17170.92 36031.7, 17155.41 35742.89, 17140.3 35453.73, 17125.11 35164.27, 17109.94 34874.48, 17108.95 34850.01))",annotation,plate4_12F,[102   0 102]
76,"POLYGON ((9165.17 40547.15, 8857.82 40565.14, 8550.12 40583.54, 8242.05 40601.93, 8006.52 40615.73, 7933.6 40620.37, 7908.38 40621.96, 7928.45 40910.73, 7948.92 41199.52, 7969.33 41487.97, 7989.75 41776.12, 7991.59 41800.74, 8298.95 41781.66, 8606.26 41762.6, 8913.24 41743.54, 9219.87 41724.49, 9245.72 41723.16, 9225.64 41435.75, 9205.98 41147.99, 9186.27 40859.89, 9166.54 40571.49, 9165.17 40547.15))",annotation,plate4_6G,[102   0 102]
77,"POLYGON ((22166.72 26656.74, 21867.83 26666.28, 21568.6 26676.24, 21268.98 26685.81, 21039.52 26693.17, 20969.02 26695.78, 20944.1 26696.71, 20957.21 26992.7, 20970.28 27288.74, 20983.38 27584.47, 20996.49 27879.84, 20997.72 27905.48, 21296.58 27894.82, 21595.52 27884.14, 21894.04 27873.49, 22192.23 27862.86, 22216.98 27862.24, 22204.65 27567.61, 22192.24 27272.62, 22179.88 26977.3, 22167.48 26681.67, 22166.72 26656.74))",annotation,plate4_6C,[102   0 102]
78,"POLYGON ((26091.9 22532.5, 25795.57 22539.59, 25498.95 22547.03, 25201.91 22554.48, 24974.84 22559.93, 24904.57 22561.96, 24880.25 22562.66, 24890.76 22860.78, 24901.62 23158.94, 24912.49 23456.73, 24923.36 23754.24, 24924.4 23780.06, 25220.71 23771.88, 25517.04 23763.71, 25813.02 23755.53, 26108.64 23747.37, 26133.55 23746.99, 26123.05 23450.23, 26112.84 23153.17, 26102.66 22855.77, 26092.49 22558.04, 26091.9 22532.5))",annotation,plate4_1A,[102   0 102]
79,"POLYGON ((10037 53311.3, 9737.84 53336.38, 9438.29 53361.87, 9138.42 53387, 8909.09 53406.27, 8838.16 53412.54, 8813.6 53414.73, 8832.68 53689.29, 8852.14 53963.88, 8871.58 54238.15, 8891 54512.14, 8892.78 54535.91, 9191.9 54509.81, 9491.12 54483.69, 9789.96 54457.6, 10088.44 54431.56, 10113.58 54429.63, 10094.52 54156.32, 10075.8 53882.64, 10057.06 53608.7, 10038.29 53334.45, 10037 53311.3))",annotation,plate4_8B,[255 255 255]
80,"POLYGON ((8530.26 31251.66, 8216.95 31264.24, 7903.28 31277.22, 7589.23 31289.86, 7349.05 31299.51, 7274.75 31302.86, 7249.03 31304.01, 7269.84 31603.35, 7291.03 31902.71, 7312.25 32201.71, 7333.42 32500.4, 7335.35 32526.32, 7648.61 32512.57, 7961.95 32498.86, 8274.87 32485.15, 8587.37 32471.47, 8613.72 32470.6, 8592.97 32172.7, 8572.57 31874.43, 8552.14 31575.84, 8531.69 31276.89, 8530.26 31251.66))",annotation,plate4_3H,[102   0 102]
81,"POLYGON ((20783.52 25384.3, 20482.2 25393.12, 20180.61 25402.35, 19878.61 25411.58, 19647.69 25418.38, 19576.24 25420.84, 19551.51 25421.69, 19565.08 25719.95, 19579.02 26018.27, 19592.96 26316.22, 19606.93 26613.84, 19608.23 26639.67, 19909.48 26629.72, 20210.81 26619.75, 20511.71 26609.81, 20812.28 26599.89, 20837.62 26599.33, 20824.06 26302.47, 20810.81 26005.24, 20797.61 25707.7, 20784.36 25409.8, 20783.52 25384.3))",annotation,plate4_6C,[102   0 102]
82,"POLYGON ((15112.96 47876.67, 14816.99 47898.55, 14520.7 47920.79, 14224.05 47943.05, 13996.88 47959.87, 13927.08 47965.36, 13902.41 47967.29, 13919.04 48244.61, 13935.7 48521.98, 13952.3 48799.03, 13968.96 49075.77, 13970.47 49099.44, 14266.41 49076.55, 14562.39 49053.67, 14857.98 49030.82, 15153.29 49007.97, 15177.81 49006.33, 15161.89 48730.22, 15145.95 48453.8, 15130 48177.09, 15114.02 47900.08, 15112.96 47876.67))",annotation,plate4_11G,[102   0 102]
85,"POLYGON ((20663.05 22667.46, 20360.14 22674.67, 20056.88 22682.28, 19753.26 22689.9, 19521.13 22695.45, 19449.29 22697.54, 19424.39 22698.25, 19438.11 22999.59, 19452.21 23300.99, 19466.27 23602.02, 19480.38 23902.7, 19481.68 23928.42, 19784.58 23920.05, 20087.51 23911.72, 20390.03 23903.36, 20692.24 23895.03, 20717.71 23894.61, 20703.99 23594.69, 20690.64 23294.43, 20677.27 22993.8, 20663.88 22692.84, 20663.05 22667.46))",annotation,plate4_3G,[102   0 102]
87,"POLYGON ((22053.93 23960.08, 21753.45 23968.06, 21452.61 23976.41, 21151.4 23984.78, 20920.74 23990.92, 20849.87 23993.17, 20824.81 23993.95, 20837.64 24292.99, 20850.88 24592.09, 20864.11 24890.84, 20877.29 25189.24, 20878.54 25214.76, 21179.04 25205.67, 21479.54 25196.59, 21779.71 25187.88, 22079.49 25178.81, 22104.76 25178.33, 22092.27 24880.67, 22079.77 24582.68, 22067.25 24284.33, 22054.71 23985.67, 22053.93 23960.08))",annotation,plate4_3G,[102   0 102]
91,"POLYGON ((12622.29 28371.59, 12312.55 28382.35, 12002.38 28393.54, 11691.9 28404.71, 11454.07 28413.01, 11381 28415.92, 11355.18 28416.94, 11373.94 28716.92, 11392.78 29016.97, 11411.53 29316.63, 11430.29 29615.99, 11432.01 29641.97, 11741.78 29630.06, 12051.55 29618.14, 12360.95 29606.25, 12669.97 29594.38, 12695.63 29593.67, 12677.64 29295.08, 12659.66 28996.14, 12641.63 28696.86, 12623.54 28397.25, 12622.29 28371.59))",annotation,plate4_5H,[102   0 102]
92,"POLYGON ((12701.73 29695.03, 12392.81 29706.59, 12083.48 29718.54, 11773.83 29730.51, 11537 29739.4, 11463.73 29742.5, 11438.37 29743.57, 11456.68 30042.07, 11475.42 30340.59, 11494.07 30638.75, 11512.74 30936.61, 11514.46 30962.46, 11823.39 30949.76, 12132.34 30937.08, 12440.91 30924.4, 12749.11 30911.74, 12775.06 30910.96, 12756.79 30613.88, 12738.87 30316.44, 12720.96 30018.68, 12702.97 29720.56, 12701.73 29695.03))",annotation,plate4_5H,[102   0 102]
93,"POLYGON ((14599.49 38952.52, 14297.96 38969.4, 13996.12 38986.67, 13693.93 39003.61, 13462.44 39016.59, 13391.33 39020.92, 13366.2 39022.46, 13383.48 39309.65, 13400.7 39596.9, 13417.93 39883.82, 13435.14 40170.45, 13436.73 40195.32, 13738.21 40177.33, 14039.71 40159.38, 14340.85 40141.45, 14641.63 40123.52, 14666.58 40122.32, 14650.13 39836.39, 14633.62 39550.16, 14617.13 39263.62, 14600.59 38976.73, 14599.49 38952.52))",annotation,plate4_6B,[  0 255   0]
94,"POLYGON ((15412.28 28272.15, 15105.96 28282.82, 14799.22 28293.86, 14492.12 28304.56, 14257.31 28312.73, 14184.66 28315.62, 14159.51 28316.61, 14176.22 28615.02, 14193.33 28913.45, 14210.42 29211.52, 14227.48 29509.29, 14229.06 29535.12, 14535.37 29523.33, 14841.77 29511.56, 15147.75 29499.8, 15453.37 29488.05, 15479.1 29487.34, 15462.43 29190.34, 15446.09 28893.01, 15429.74 28595.34, 15413.37 28297.3, 15412.28 28272.15))",annotation,plate4_9D,[102   0 102]
95,"POLYGON ((9800.73 28472.53, 9487.48 28483.42, 9173.86 28494.71, 8859.85 28506.03, 8619.74 28514.4, 8545.45 28517.35, 8519.74 28518.37, 8539.87 28820, 8560.41 29121.64, 8580.92 29422.94, 8601.38 29723.92, 8603.23 29749.66, 8916.46 29737.61, 9229.72 29725.57, 9542.65 29713.93, 9855.09 29701.91, 9881.44 29701.17, 9861.37 29400.99, 9841.64 29100.44, 9821.89 28799.56, 9802.12 28498.32, 9800.73 28472.53))",annotation,plate4_4G,[102   0 102]
96,"POLYGON ((15112.73 22805.4, 14803 22812.77, 14492.91 22820.58, 14182.42 22827.96, 13944.62 22833.65, 13871.56 22835.76, 13845.74 22836.51, 13863.2 23141.15, 13880.63 23445.8, 13898.08 23750.15, 13915.54 24054.11, 13917.15 24080.5, 14226.83 24071.98, 14536.6 24063.41, 14845.92 24054.88, 15154.89 24046.37, 15180.54 24045.96, 15163.92 23742.75, 15147.21 23439.2, 15130.55 23135.29, 15113.84 22831.06, 15112.73 22805.4))",annotation,plate4_8H,[102   0 102]
97,"POLYGON ((9150.46 59614.29, 8853.64 59642.82, 8556.57 59671.74, 8259.09 59700.68, 8031.68 59722.55, 7961.29 59729.66, 7936.96 59732.11, 7956.33 60000.56, 7976.04 60269.04, 7995.77 60537.2, 8015.44 60805.09, 8017.22 60827.98, 8313.99 60798.47, 8610.74 60768.95, 8907.2 60739.45, 9203.28 60709.98, 9228.25 60707.77, 9208.87 60440.52, 9189.85 60172.95, 9170.81 59905.08, 9151.78 59636.93, 9150.46 59614.29))",annotation,plate4_9A,[255 255 255]
98,"POLYGON ((9608.6 47040.26, 9305.41 47061.92, 9001.87 47083.97, 8697.95 47105.67, 8465.61 47122.29, 8393.72 47127.77, 8368.8 47129.67, 8388.36 47411.16, 8408.32 47692.68, 8428.21 47973.89, 8448.12 48254.77, 8449.98 48279.13, 8753.14 48256.43, 9056.34 48233.73, 9359.14 48211.06, 9661.64 48188.41, 9687.14 48186.77, 9667.55 47906.56, 9648.39 47626.04, 9629.17 47345.16, 9609.93 47064.01, 9608.6 47040.26))",annotation,plate4_1E,[255 255   0]
100,"POLYGON ((19254.56 22702.39, 18949.9 22709.66, 18644.95 22717.31, 18339.59 22724.99, 18105.71 22730.58, 18033.86 22732.65, 18008.46 22733.38, 18023.41 23035.56, 18038.33 23337.78, 18053.27 23639.64, 18068.21 23941.16, 18069.59 23966.96, 18374.18 23958.54, 18678.86 23950.15, 18983.1 23941.75, 19287 23933.38, 19312.23 23932.96, 19298.09 23632.2, 19283.86 23331.09, 19269.69 23029.65, 19255.46 22727.85, 19254.56 22702.39))",annotation,plate4_2F,[102   0 102]
101,"POLYGON ((14896.01 44108.57, 14597.71 44128.36, 14299.08 44148.53, 14000.07 44168.37, 13771.1 44183.58, 13700.69 44188.6, 13675.85 44190.36, 13692.76 44471.82, 13709.66 44753.34, 13726.52 45034.55, 13743.39 45315.42, 13744.98 45339.79, 14043.23 45318.97, 14341.56 45298.14, 14639.49 45277.34, 14937.12 45256.55, 14961.83 45255.09, 14945.64 44974.86, 14929.46 44694.32, 14913.3 44413.47, 14897.09 44132.32, 14896.01 44108.57))",annotation,plate4_11A,[102   0 102]
102,"POLYGON ((14748.42 41542.43, 14448.53 41560.78, 14148.3 41579.51, 13847.71 41598.28, 13617.49 41612.4, 13546.76 41617.07, 13521.76 41618.71, 13538.84 41903.03, 13555.92 42187.38, 13572.97 42471.41, 13589.98 42755.15, 13591.53 42779.43, 13891.44 42759.99, 14191.3 42740.59, 14490.87 42721.19, 14790.02 42701.84, 14814.87 42700.51, 14798.55 42417.45, 14782.24 42134.08, 14765.89 41850.41, 14749.54 41566.39, 14748.42 41542.43))",annotation,plate4_12C,[  0 255   0]
103,"POLYGON ((14142.89 31020.68, 13836.5 31033, 13529.69 31045.69, 13222.55 31058.42, 12987.33 31067.9, 12915.06 31071.16, 12889.51 31072.3, 12907.26 31368.44, 12925.05 31664.61, 12942.81 31960.44, 12960.56 32255.95, 12962.17 32281.22, 13268.58 32267.79, 13575.01 32254.37, 13881.06 32240.96, 14186.75 32227.59, 14212.52 32226.72, 14195.13 31931.97, 14178.15 31636.87, 14161.09 31341.44, 14144.03 31045.64, 14142.89 31020.68))",annotation,plate4_2E,[102   0 102]
104,"POLYGON ((10414.48 37839.23, 10107.18 37855.63, 9799.54 37872.41, 9491.49 37888.84, 9255.96 37901.43, 9183.06 37905.68, 9157.87 37907.14, 9177.28 38198.09, 9197.09 38489.07, 9216.85 38779.73, 9236.61 39070.03, 9238.42 39095.22, 9545.7 39077.76, 9853 39060.27, 10159.92 39042.8, 10466.5 39025.34, 10492.32 39024.16, 10472.92 38734.56, 10453.88 38444.63, 10434.86 38154.35, 10415.79 37863.76, 10414.48 37839.23))",annotation,plate4_2G,[102   0 102]
105,"POLYGON ((14820.45 42796.96, 14521.33 42816, 14221.85 42835.43, 13922.08 42854.92, 13692.87 42869.54, 13621.91 42874.4, 13597.36 42876.09, 13613.97 43159.02, 13630.96 43441.98, 13647.9 43724.64, 13664.86 44006.98, 13666.4 44031.13, 13965.53 44011.02, 14264.62 43990.9, 14563.38 43970.82, 14861.79 43950.76, 14886.98 43949.34, 14870.33 43667.7, 14854.1 43385.71, 14837.83 43103.42, 14821.53 42820.81, 14820.45 42796.96))",annotation,plate4_12C,[  0 255   0]
106,"POLYGON ((12656.23 51871.23, 12359.49 51895.39, 12062.35 51919.95, 11764.9 51944.53, 11537.46 51963.09, 11467.1 51969.16, 11442.74 51971.26, 11460.33 52245.8, 11478.29 52520.38, 11496.24 52794.64, 11514.17 53068.6, 11515.79 53092.03, 11812.51 53066.85, 12109.31 53041.65, 12405.71 53016.5, 12701.82 52991.38, 12726.75 52989.52, 12709.18 52716.2, 12691.94 52442.58, 12674.68 52168.63, 12657.4 51894.38, 12656.23 51871.23))",annotation,plate4_4F,[255 255   0]
108,"POLYGON ((12887.52 55546.84, 12593.08 55572.97, 12298.27 55599.51, 12003.16 55626.05, 11777.13 55646.15, 11707.69 55652.66, 11683.14 55654.95, 11700.81 55925.45, 11718.52 56196.02, 11736.2 56466.27, 11753.87 56736.23, 11755.47 56759.32, 12049.9 56732.19, 12344.37 56705.04, 12638.52 56678.28, 12932.3 56651.21, 12956.69 56649.21, 12939.72 56379.85, 12922.76 56110.19, 12905.75 55840.23, 12888.69 55570, 12887.52 55546.84))",annotation,plate4_5D,[255 255   0]
111,"POLYGON ((8445.87 49682.16, 8142.73 49705.34, 7839.2 49728.91, 7535.36 49752.5, 7302.62 49770.3, 7231.13 49776.11, 7205.86 49778.16, 7225.98 50057.51, 7246.54 50336.91, 7267.06 50615.97, 7287.57 50894.73, 7289.41 50918.55, 7592.55 50894.35, 7895.71 50870.14, 8198.51 50845.92, 8500.95 50821.76, 8526.45 50820, 8506.68 50541.88, 8486.93 50263.47, 8467.08 49984.73, 8447.25 49705.72, 8445.87 49682.16))",annotation,plate4_1G,[255 255   0]
112,"POLYGON ((26136.99 23847.7, 25841.48 23855.54, 25545.56 23863.78, 25249.32 23871.99, 25022.46 23878.04, 24952.75 23880.24, 24928.11 23881.03, 24938.91 24177.65, 24949.75 24474.33, 24960.57 24770.67, 24971.38 25066.69, 24972.42 25092.38, 25267.97 25083.45, 25563.54 25074.49, 25858.75 25065.55, 26153.62 25056.62, 26178.09 25056.18, 26167.98 24760.9, 26157.89 24465.28, 26147.72 24169.36, 26137.58 23873.09, 26136.99 23847.7))",annotation,plate4_1A,[102   0 102]
114,"POLYGON ((21998.25 22634.21, 21696.95 22641.4, 21395.35 22648.96, 21093.33 22656.54, 20862.45 22662.06, 20791 22664.12, 20766.26 22664.85, 20779.19 22965.39, 20792.46 23265.97, 20805.76 23566.23, 20819.01 23866.13, 20820.27 23891.78, 21121.54 23883.47, 21422.84 23875.15, 21723.79 23867.24, 22024.35 23858.94, 22049.68 23858.54, 22036.75 23559.4, 22024.18 23259.91, 22011.6 22960.07, 21999.04 22659.92, 21998.25 22634.21))",annotation,plate4_3G,[102   0 102]
115,"POLYGON ((30053.27 22434.4, 29761.7 22441.34, 29469.85 22448.68, 29177.6 22456.01, 28953.82 22461.36, 28885.05 22463.35, 28860.75 22464.05, 28869.33 22759.8, 28877.89 23055.61, 28886.47 23351.07, 28895.01 23646.23, 28895.86 23671.46, 29187.41 23663.4, 29478.98 23655.36, 29770.2 23647.34, 30061.07 23639.3, 30085.22 23638.94, 30077.33 23344.51, 30069.44 23049.78, 30061.53 22754.71, 30053.65 22459.32, 30053.27 22434.4))",annotation,plate4_3C,[102   0 102]
116,"POLYGON ((15850.6 36263.45, 15549.14 36278.76, 15247.37 36294.45, 14945.23 36310.17, 14713.82 36321.92, 14642.73 36325.88, 14617.63 36327.29, 14634.22 36616.64, 14650.78 36906.05, 14667.35 37195.12, 14683.87 37483.91, 14685.38 37508.58, 14986.83 37492.2, 15288.24 37475.82, 15589.34 37459.44, 15890.06 37443.08, 15915 37442.02, 15899.2 37153.96, 15883.36 36865.57, 15867.5 36576.86, 15851.65 36287.85, 15850.6 36263.45))",annotation,plate4_11D,[102   0 102]
117,"POLYGON ((24760.48 23885.54, 24463.28 23893.45, 24165.73 23901.7, 23867.81 23909.99, 23639.68 23916.07, 23569.54 23918.29, 23544.76 23919.08, 23556.41 24216.51, 23568.05 24513.99, 23579.65 24811.14, 23591.27 25107.96, 23592.4 25133.72, 23889.58 25124.74, 24186.84 25115.75, 24483.68 25106.76, 24780.23 25097.78, 24804.85 25097.34, 24793.9 24801.24, 24782.98 24504.83, 24772.08 24208.08, 24761.14 23911.02, 24760.48 23885.54))",annotation,plate4_3E,[102   0 102]
118,"POLYGON ((10586.67 40462.6, 10281.04 40480.49, 9975.09 40498.78, 9668.71 40517.09, 9434.11 40530.82, 9362.03 40535.39, 9336.55 40537.02, 9355.77 40825.02, 9375.34 41113.05, 9394.93 41400.74, 9414.46 41688.13, 9416.23 41712.69, 9721.87 41693.73, 10027.47 41674.75, 10332.76 41655.8, 10637.65 41636.86, 10663.36 41635.55, 10644.51 41348.86, 10625.7 41061.84, 10606.84 40774.52, 10588 40486.88, 10586.67 40462.6))",annotation,plate4_8G,[  0 255   0]
119,"POLYGON ((17970.57 24072.59, 17665.12 24080.68, 17359.26 24089.19, 17053.06 24097.68, 16818.95 24103.91, 16746.51 24106.21, 16721.4 24106.99, 16736.69 24408.46, 16752.38 24709.96, 16768.05 25011.09, 16783.7 25311.91, 16785.14 25337.61, 17090.61 25328.39, 17396.1 25319.16, 17701.18 25309.92, 18005.95 25300.69, 18031.64 25300.21, 18016.35 25000.17, 18001.43 24699.79, 17986.49 24399.05, 17971.53 24097.99, 17970.57 24072.59))",annotation,plate4_2F,[102   0 102]
120,"POLYGON ((7333.69 34014.45, 7020.41 34028.72, 6706.74 34043.35, 6392.76 34058.03, 6152.6 34068.98, 6078.31 34072.71, 6052.63 34074.02, 6074.04 34371.04, 6095.92 34668.07, 6117.71 34964.77, 6139.51 35261.12, 6141.47 35286.46, 6454.72 35271.08, 6767.99 35255.69, 7080.88 35240.35, 7393.38 35224.98, 7419.69 35223.98, 7398.31 34928.38, 7377.28 34632.4, 7356.25 34336.13, 7335.13 34039.49, 7333.69 34014.45))",annotation,plate4_10H,[102   0 102]
122,"POLYGON ((9433.54 44475.82, 9128.67 44496.04, 8823.53 44516.65, 8517.95 44537.28, 8284.35 44552.81, 8212.07 44557.95, 8187.05 44559.72, 8206.81 44844.09, 8226.93 45128.45, 8247.07 45412.52, 8267.14 45696.25, 8268.99 45720.51, 8573.8 45699.23, 8878.63 45677.94, 9183.12 45657.04, 9487.22 45635.81, 9512.86 45634.29, 9493.11 45351.24, 9473.72 45067.88, 9454.31 44784.18, 9434.91 44500.16, 9433.54 44475.82))",annotation,plate4_6E,[0 0 0]
125,"POLYGON ((14101.47 52966.61, 13807.1 52991.29, 13512.34 53016.38, 13217.29 53041.46, 12991.3 53060.45, 12921.84 53066.61, 12897.3 53068.78, 12914.38 53341.29, 12931.49 53613.86, 12948.53 53886.13, 12965.57 54158.09, 12967.12 54181.34, 13261.47 54155.66, 13555.91 54129.97, 13849.98 54104.3, 14143.7 54078.68, 14168.43 54076.76, 14151.74 53805.45, 14135.37 53533.8, 14119.01 53261.85, 14102.57 52989.6, 14101.47 52966.61))",annotation,plate4_7G,[255 255   0]
126,"POLYGON ((16403.94 21357.66, 16095.03 21364.13, 15785.79 21371.03, 15476.11 21377.93, 15239.37 21382.93, 15166.11 21384.85, 15140.75 21385.51, 15157.04 21690.95, 15173.76 21996.44, 15190.46 22301.58, 15207.11 22606.34, 15208.69 22632.8, 15517.59 22625.15, 15826.51 22617.53, 16135.04 22609.88, 16443.2 22602.23, 16469.18 22601.87, 16452.84 22297.89, 16436.93 21993.54, 16420.98 21688.83, 16405.04 21383.79, 16403.94 21357.66))",annotation,plate4_10C,[102   0 102]
127,"POLYGON ((7712.19 39344.7, 7402.36 39362.03, 7092.17 39379.8, 6781.61 39397.57, 6543.78 39410.9, 6470.67 39415.36, 6444.84 39416.93, 6466.24 39707.86, 6487.64 39998.83, 6508.99 40289.46, 6530.34 40579.77, 6532.29 40604.58, 6842.07 40586.15, 7151.93 40567.68, 7461.34 40549.24, 7770.45 40530.84, 7796.11 40529.59, 7775.49 40239.98, 7754.89 39950.07, 7734.29 39659.79, 7713.63 39369.21, 7712.19 39344.7))",annotation,plate4_6G,[102   0 102]
