,geometry,objectType,name,color
12,"POLYGON ((26318.65 29172.45, 26026.19 29183.39, 25733.39 29194.71, 25440.23 29206.03, 25216.09 29214.45, 25146.73 29217.39, 25122.72 29218.4, 25132.94 29509.11, 25143.59 29799.84, 25154.2 30090.26, 25164.76 30380.36, 25165.78 30405.54, 25458.27 30393.5, 25750.74 30381.49, 26042.91 30369.5, 26334.68 30357.52, 26359.27 30356.76, 26348.99 30067.41, 26339.1 29777.7, 26329.17 29487.68, 26319.22 29197.32, 26318.65 29172.45))",annotation,plate4_3D,[128   0 128]
13,"POLYGON ((23336.86 21205.4, 23036.5 21211.72, 22735.71 21218.43, 22434.6 21225.12, 22204.01 21229.99, 22133.12 21231.84, 22108.07 21232.49, 22120.62 21533.77, 22133.16 21835.13, 22145.67 22136.12, 22158.22 22436.78, 22159.38 22462.47, 22459.75 22455.04, 22760.21 22447.62, 23060.23 22440.16, 23359.96 22432.74, 23384.83 22432.42, 23373.04 22132.52, 23361.2 21832.29, 23349.41 21531.7, 23337.57 21230.81, 23336.86 21205.4))",annotation,plate4_7D,[102   0 102]
15,"POLYGON ((7426.91 35324.7, 7114.44 35339.73, 6801.66 35355.15, 6488.46 35370.22, 6248.59 35381.78, 6174.91 35385.69, 6148.86 35387.06, 6170.63 35682.55, 6192.33 35978.09, 6214.04 36273.3, 6235.7 36568.14, 6237.68 36593.73, 6550.11 36577.59, 6862.5 36561.44, 7174.58 36545.34, 7486.23 36529.22, 7512.08 36528.16, 7491.21 36234.03, 7470.27 35939.55, 7449.32 35644.76, 7428.37 35349.61, 7426.91 35324.7))",annotation,plate4_10H,[102   0 102]
17,"POLYGON ((8976.85 57167.07, 8678.5 57194.32, 8379.79 57221.92, 8080.79 57249.59, 7851.76 57270.52, 7781.37 57277.27, 7756.5 57279.65, 7776.44 57550.73, 7796.42 57821.86, 7816.31 58092.7, 7836.21 58363.23, 7838 58386.38, 8136.32 58358.12, 8434.67 58329.88, 8732.69 58302.02, 9030.34 58273.84, 9055.4 58271.73, 9035.87 58001.83, 9016.66 57731.62, 8997.46 57461.11, 8978.18 57190.29, 8976.85 57167.07))",annotation,plate4_7C,[255 255   0]
18,"POLYGON ((21939.65 21236.11, 21637.51 21242.48, 21335.09 21249.2, 21032.26 21255.96, 20800.71 21260.84, 20729.06 21262.71, 20704.26 21263.35, 20717.25 21565.49, 20730.6 21867.65, 20743.96 22169.49, 20757.31 22470.98, 20758.58 22496.76, 21060.66 22489.27, 21362.81 22481.79, 21664.54 22474.31, 21965.93 22466.85, 21991.33 22466.52, 21978.33 22165.8, 21965.7 21864.73, 21953.08 21563.33, 21940.42 21261.57, 21939.65 21236.11))",annotation,plate4_1D,[102   0 102]
19,"POLYGON ((11582.68 55663.97, 11286.66 55690.27, 10990.34 55716.92, 10693.71 55743.61, 10466.46 55763.81, 10396.66 55770.33, 10371.99 55772.63, 10390.45 56043.79, 10408.91 56314.97, 10427.36 56585.88, 10445.78 56856.5, 10447.45 56879.63, 10743.41 56852.34, 11039.4 56825.07, 11335.05 56797.81, 11630.32 56770.6, 11654.84 56768.61, 11637.15 56498.61, 11619.41 56228.31, 11601.68 55957.73, 11583.87 55686.85, 11582.68 55663.97))",annotation,plate4_5D,[255 255   0]
20,"POLYGON ((16333.37 20003.38, 16023.6 20009.02, 15713.53 20015.08, 15403.01 20021.19, 15165.24 20025.56, 15092.18 20027.26, 15066.35 20027.87, 15083.16 20334.87, 15099.93 20641.9, 15116.72 20948.62, 15133.45 21254.93, 15135.04 21281.52, 15444.77 21274.69, 15754.52 21267.86, 16063.88 21261.04, 16372.86 21254.19, 16398.52 21253.93, 16382.52 20948.38, 16366.5 20642.48, 16350.47 20336.23, 16334.45 20029.64, 16333.37 20003.38))",annotation,plate4_10C,[102   0 102]
21,"POLYGON ((13040.94 57987.23, 12748 58014.68, 12454.75 58042.48, 12161.16 58069.98, 11936.27 58091.07, 11867.19 58097.87, 11842.78 58100.28, 11860.31 58368.13, 11877.81 58636.04, 11895.35 58903.66, 11912.84 59170.99, 11914.45 59194.19, 12207.32 59165.78, 12500.29 59137.34, 12792.89 59108.96, 13085.11 59080.61, 13109.38 59078.51, 13092.6 58811.78, 13075.78 58544.73, 13058.94 58277.43, 13042.08 58009.83, 13040.94 57987.23))",annotation,plate4_1B,[255 255   0]
22,"POLYGON ((9322.56 62035.45, 9027.34 62065.25, 8731.79 62095.44, 8435.9 62125.65, 8209.31 62148.53, 8139.66 62155.88, 8115.06 62158.49, 8134.23 62424.32, 8153.78 62690.16, 8173.29 62955.7, 8192.8 63220.97, 8194.58 63243.98, 8489.8 63213.21, 8784.99 63182.41, 9079.87 63151.66, 9374.44 63120.96, 9399.28 63118.63, 9380.43 62853.96, 9361.59 62588.98, 9342.77 62323.74, 9323.89 62058.2, 9322.56 62035.45))",annotation,plate4_7B,[255 255 255]
23,"POLYGON ((15776.55 34915.05, 15474.29 34929.61, 15171.68 34944.51, 14868.74 34959.44, 14637.05 34970.63, 14565.38 34974.43, 14540.57 34975.73, 14556.85 35266.63, 14573.53 35557.54, 14590.19 35848.13, 14606.83 36138.38, 14608.36 36163.57, 14910.61 36147.96, 15212.88 36132.36, 15514.78 36116.73, 15816.29 36101.16, 15841.71 36100.13, 15825.45 35810.58, 15809.53 35520.7, 15793.62 35230.49, 15777.63 34939.96, 15776.55 34915.05))",annotation,plate4_12F,[102   0 102]
