cell_id,Tile,Clone
aaigllec-1,0_plate4_7B_,255_255_255
aaigpecg-1,0_plate4_7B_,255_255_255
aaihccik-1,0_plate4_7B_,255_255_255
aaiheief-1,0_plate4_7B_,255_255_255
aaihfbel-1,0_plate4_7B_,255_255_255
aaiiboin-1,0_plate4_7B_,255_255_255
aaiicfpo-1,0_plate4_7B_,255_255_255
aaijchej-1,0_plate4_7B_,255_255_255
aaijcmii-1,0_plate4_7B_,255_255_255
aaijhbne-1,0_plate4_7B_,255_255_255
aaijikkb-1,0_plate4_7B_,255_255_255
aaijnjje-1,0_plate4_7B_,255_255_255
aaikcmnk-1,0_plate4_7B_,255_255_255
aaikfoef-1,0_plate4_7B_,255_255_255
aaikifcb-1,0_plate4_7B_,255_255_255
abdbgfmg-1,0_plate4_7B_,255_255_255
abdbllbf-1,0_plate4_7B_,255_255_255
abddephj-1,0_plate4_7B_,255_255_255
abddgbok-1,0_plate4_7B_,255_255_255
abddjgga-1,0_plate4_7B_,255_255_255
abddphal-1,0_plate4_7B_,255_255_255
abdedhmj-1,0_plate4_7B_,255_255_255
abdegneh-1,0_plate4_7B_,255_255_255
abdegocg-1,0_plate4_7B_,255_255_255
abdelemf-1,0_plate4_7B_,255_255_255
abdepche-1,0_plate4_7B_,255_255_255
abdfbmpp-1,0_plate4_7B_,255_255_255
abdfbpfo-1,0_plate4_7B_,255_255_255
abdfgccc-1,0_plate4_7B_,255_255_255
abdfhlpa-1,0_plate4_7B_,255_255_255
abdfoofe-1,0_plate4_7B_,255_255_255
abdfpnff-1,0_plate4_7B_,255_255_255
abdgemba-1,0_plate4_7B_,255_255_255
abdgeonp-1,0_plate4_7B_,255_255_255
abdgmblj-1,0_plate4_7B_,255_255_255
abdhajfn-1,0_plate4_7B_,255_255_255
abdhckid-1,0_plate4_7B_,255_255_255
abdhfjhn-1,0_plate4_7B_,255_255_255
abdhhkdd-1,0_plate4_7B_,255_255_255
abdhmalf-1,0_plate4_7B_,255_255_255
abdienmn-1,0_plate4_7B_,255_255_255
abdifpem-1,0_plate4_7B_,255_255_255
abdihion-1,0_plate4_7B_,255_255_255
abdiipoh-1,0_plate4_7B_,255_255_255
abdiklgi-1,0_plate4_7B_,255_255_255
abdipkja-1,0_plate4_7B_,255_255_255
abdjdbhe-1,0_plate4_7B_,255_255_255
abdjeigp-1,0_plate4_7B_,255_255_255
abdjlanf-1,0_plate4_7B_,255_255_255
abdjmhol-1,0_plate4_7B_,255_255_255
abdjpgjo-1,0_plate4_7B_,255_255_255
abdjppjo-1,0_plate4_7B_,255_255_255
abdkbgee-1,0_plate4_7B_,255_255_255
abdkfkcf-1,0_plate4_7B_,255_255_255
abdkjghn-1,0_plate4_7B_,255_255_255
abdknfna-1,0_plate4_7B_,255_255_255
abdknnmd-1,0_plate4_7B_,255_255_255
abdlfhie-1,0_plate4_7B_,255_255_255
abdmejdo-1,0_plate4_7B_,255_255_255
abdmejnf-1,0_plate4_7B_,255_255_255
abdmknnj-1,0_plate4_7B_,255_255_255
abdneebm-1,0_plate4_7B_,255_255_255
abdnjaed-1,0_plate4_7B_,255_255_255
abdnmclj-1,0_plate4_7B_,255_255_255
abdoagoj-1,0_plate4_7B_,255_255_255
abdodoee-1,0_plate4_7B_,255_255_255
abealeeg-1,0_plate4_7B_,255_255_255
abecgaad-1,0_plate4_7B_,255_255_255
abechpgf-1,0_plate4_7B_,255_255_255
abecihoe-1,0_plate4_7B_,255_255_255
abedeadh-1,0_plate4_7B_,255_255_255
abedeiif-1,0_plate4_7B_,255_255_255
abedgdio-1,0_plate4_7B_,255_255_255
abedmbom-1,0_plate4_7B_,255_255_255
abeeifgg-1,0_plate4_7B_,255_255_255
abeghljn-1,0_plate4_7B_,255_255_255
abeglpcn-1,0_plate4_7B_,255_255_255
abegoeol-1,0_plate4_7B_,255_255_255
abehblgn-1,0_plate4_7B_,255_255_255
abehegae-1,0_plate4_7B_,255_255_255
abehladi-1,0_plate4_7B_,255_255_255
abehonjp-1,0_plate4_7B_,255_255_255
aenbadoi-1,0_plate4_7B_,255_255_255
aenbioim-1,0_plate4_7B_,255_255_255
aenbkfga-1,0_plate4_7B_,255_255_255
aenblghp-1,0_plate4_7B_,255_255_255
aenbojmj-1,0_plate4_7B_,255_255_255
fnplhned-1,0_plate4_7B_,255_255_255
fnpmemhh-1,0_plate4_7B_,255_255_255
fnpmgddj-1,0_plate4_7B_,255_255_255
fnpmjeeh-1,0_plate4_7B_,255_255_255
fnpmlckg-1,0_plate4_7B_,255_255_255
fnpmndnb-1,0_plate4_7B_,255_255_255
fnpmpboo-1,0_plate4_7B_,255_255_255
fnpnagad-1,0_plate4_7B_,255_255_255
fnpnkpdn-1,0_plate4_7B_,255_255_255
fnpobgjd-1,0_plate4_7B_,255_255_255
fnpoggol-1,0_plate4_7B_,255_255_255
fnpolcgn-1,0_plate4_7B_,255_255_255
fnppmnon-1,0_plate4_7B_,255_255_255
fnppnill-1,0_plate4_7B_,255_255_255
fnpppmfd-1,0_plate4_7B_,255_255_255
foaajmlk-1,0_plate4_7B_,255_255_255
foabaepl-1,0_plate4_7B_,255_255_255
foacabad-1,0_plate4_7B_,255_255_255
foacabmo-1,0_plate4_7B_,255_255_255
foaccpdi-1,0_plate4_7B_,255_255_255
foacdoan-1,0_plate4_7B_,255_255_255
foackbel-1,0_plate4_7B_,255_255_255
foaclobi-1,0_plate4_7B_,255_255_255
foadclel-1,0_plate4_7B_,255_255_255
foadhjjn-1,0_plate4_7B_,255_255_255
foadlhke-1,0_plate4_7B_,255_255_255
foadmjdf-1,0_plate4_7B_,255_255_255
foaeamfh-1,0_plate4_7B_,255_255_255
foaejeob-1,0_plate4_7B_,255_255_255
foaenooe-1,0_plate4_7B_,255_255_255
foaeofjf-1,0_plate4_7B_,255_255_255
foafdmlg-1,0_plate4_7B_,255_255_255
foafefld-1,0_plate4_7B_,255_255_255
foafhpbn-1,0_plate4_7B_,255_255_255
foafifeo-1,0_plate4_7B_,255_255_255
foafkfjf-1,0_plate4_7B_,255_255_255
foafmiei-1,0_plate4_7B_,255_255_255
foafnknd-1,0_plate4_7B_,255_255_255
foagpfbf-1,0_plate4_7B_,255_255_255
foahdjne-1,0_plate4_7B_,255_255_255
