,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
0,AAMP,0.6587615076030633,4.312159207106592,4.523875865297608e-08,0.1375241074057229,0.11985845320807567,0.423838939315235,0.8936840758908916,True,4.048868899441359e-05,True
2,ABCC1,0.6894758591527349,3.7061537267412668,3.902095890989281e-26,0.19326848063578658,0.06457519610424461,0.5629084747884154,0.8160432435170544,True,3.4923758224354064e-23,True
3,ABCC4,0.635898416040562,4.0008652952270545,1.2975846787993011e-20,0.18192196287126428,0.06773384996071646,0.5031400701175577,0.7686567619635662,True,1.1613382875253745e-17,True
5,ACACA,0.6521819759073381,3.8464341567270477,3.342458188023932e-55,0.24765116676626306,0.04101371844511055,0.5717950877549214,0.7325688640597547,True,2.991500078281419e-52,True
7,ACLY,0.6786137810455333,3.6924192427700313,1.0910754690467972e-35,0.2102429851834519,0.053802811716297395,0.5731602700815903,0.7840672920094762,True,9.765125447968834e-33,True
8,ACPP,0.2604292224265356,4.231605268210304,4.3938965402634775e-08,0.12199605329159714,0.047389424527360266,0.16754595035290948,0.3533124945001617,True,3.932537403535813e-05,True
11,ADAM10,0.4856910087306455,4.216300426424703,1.743625877865531e-08,0.12085791005534736,0.08585458230302098,0.31741602741672437,0.6539659900445667,True,1.5605451606896502e-05,True
12,ADAM9,0.41374874648222754,4.2768804480676135,1.508806393152047e-13,0.13657734181266995,0.055746815321271626,0.30448498845253513,0.5230125045119199,True,1.3503817218710821e-10,True
14,ADAR,0.8476409088341674,3.976227164169157,1.591162851365514e-13,0.1738900093410364,0.11397067235170892,0.624258391024818,1.0710234266435168,True,1.424090751972135e-10,True
15,ADD1,0.6321274862897119,4.035057276989705,6.176682112813987e-09,0.12952370009277783,0.10829104623014474,0.4198770356786282,0.8443779369007957,True,5.5281304909685186e-06,True
17,ADIPOR1,0.487758037077656,4.415169893613243,3.4010669221537073e-06,0.1108997936437096,0.10466783822506706,0.2826090741565246,0.6929069999987875,True,0.003043954895327568,True
19,ADNP,0.6777324837619287,4.287555479414174,1.1392186541672726e-16,0.17455848631895213,0.08111917634313447,0.5187388981293852,0.8367260693944722,True,1.0196006954797089e-13,True
23,AFF1,0.5807451215042415,4.279118302849401,5.3573774375857715e-06,0.11330211234038622,0.12719649842857403,0.3314399845842364,0.8300502584242466,True,0.004794852806639265,True
25,AHCY,0.7330840527205652,4.052694312373003,1.1667346785319484e-40,0.24070677768600662,0.054086288539425056,0.627074927183292,0.8390931782578384,True,1.0442275372860939e-37,True
28,AKT1,0.5309605959689474,4.39104472795164,1.865784302576708e-21,0.17874655351051524,0.05536113069279874,0.4224527798110619,0.6394684121268329,True,1.6698769508061536e-18,True
29,AKT2,0.651227834138702,4.453513569258926,1.879730875272441e-10,0.14975249490450887,0.10162656249419937,0.45203977165007125,0.8504158966273327,True,1.6823591333688348e-07,True
30,AKT3,0.5749598471051275,4.252960531860367,1.4139749661649213e-06,0.11655947107301555,0.11878658063636875,0.34213814905784473,0.8077815451524102,True,0.0012655075947176045,True
31,ALCAM,0.5855905618204015,4.3232075888951185,1.3015569978636339e-09,0.14582889015349593,0.09598517026937134,0.3974596280924336,0.7737214955483693,True,1.1648935130879522e-06,True
33,ALDH7A1,0.662913319036725,3.6640816109663312,7.531686038017138e-20,0.16945748884863057,0.07215494086276997,0.5214896349456959,0.8043370031277541,True,6.740859004025338e-17,True
34,ALG13,0.648300459746806,4.532241081820239,1.3319352736907702e-08,0.14922969070550018,0.11343735627423639,0.42596324144930264,0.8706376780443092,True,1.1920820699532392e-05,True
36,ALKBH5,0.7417570897441201,4.349583767452943,1.4978063178408804e-07,0.14691591062381776,0.1404136477174642,0.4665463402178903,1.0169678392703498,True,0.0001340536654467588,True
38,ALYREF,0.6357488030447933,4.137285502389166,2.592608848702446e-05,0.11080063588921867,0.15063914246197035,0.34049608381933144,0.9310015222702552,True,0.023203849195886892,True
39,AMACR,0.23604724222822998,4.124402590762484,1.1189251105777722e-12,0.1594991769405355,0.03295820123220752,0.17144916781310326,0.3006453166433567,True,1.0014379739671062e-09,True
42,ANXA2,0.34833621196455733,4.039206947590497,1.2806242713593903e-07,0.12291150728790164,0.06569303407119963,0.21957786518500608,0.47709455874410855,True,0.00011461587228666544,True
44,ANXA5,0.5862160049007634,3.493755600603927,1.3617229871009486e-32,0.18583204279978427,0.04887475923443803,0.4904214768012649,0.6820105330002619,True,1.218742073455349e-29,True
45,AP1B1,0.6727444222550204,3.944030474444391,1.660503000637052e-11,0.14571113851255565,0.09936822798984474,0.4779826953949247,0.8675061491151161,True,1.4861501855701616e-08,True
46,AP2M1,0.627144778481129,4.127271310008667,2.873007614774978e-32,0.20416802234584094,0.05246463304439589,0.5243140977141131,0.729975459248145,True,2.5713418152236055e-29,True
47,AP3D1,0.5944861023176731,4.1045797853546615,6.348091774366586e-07,0.11861484662253535,0.11892762239783712,0.3613879624179123,0.8275842422174338,True,0.0005681542138058094,True
48,APEX1,0.7169692694998928,4.020289662636012,7.962561066053522e-69,0.28505357611751364,0.04002559299336288,0.6385191072329016,0.795419431766884,True,7.126492154117902e-66,True
50,API5,0.7205305702935625,4.136457056384993,1.0751159120430308e-05,0.12045490302621624,0.16307313256130201,0.40090723047341054,1.0401539101137145,True,0.009622287412785126,True
51,APMAP,0.6216108264080702,4.68439001123379,1.5704727030180513e-12,0.17329197744462588,0.08726292419504451,0.450575494985783,0.7926461578303574,True,1.4055730692011559e-09,True
52,APOL2,0.7936681059190502,3.994086467425501,4.9363207559752705e-05,0.1347819858125692,0.19460151841092055,0.412249129833646,1.1750870820044546,True,0.04418007076597867,True
53,APP,0.38226675835482793,3.6337921498744947,1.0611241391507731e-82,0.2477178064837741,0.019528641143745615,0.34399062171308653,0.4205428949965693,True,9.49706104539942e-80,True
56,ARF1,0.5742771677341637,3.729495382744992,6.088133190913334e-39,0.1980209279514407,0.043553130740809055,0.48891303148217796,0.6596413039861495,True,5.4488792058674344e-36,True
57,ARF6,0.5328322299614145,4.342130054221798,3.5078502631354095e-19,0.1676541283283594,0.059095557795002605,0.4170049366832094,0.6486595232396196,True,3.1395259855061913e-16,True
58,ARG2,0.6078318704196765,4.040010001597493,8.558392297777135e-10,0.1550411800438272,0.09847086468288874,0.41482897564121457,0.8008347651981383,True,7.659761106510536e-07,True
