,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
4,ACE,0.27691345880619384,3.550705202871089,9.90571843886023e-12,0.1918797568493186,0.04028653206533213,0.19795185595814285,0.3558750616542448,True,3.3877557060901985e-09,True
5,ACKR3,0.35629610232282594,3.742603251562525,3.5157743725189767e-05,0.20682802869126457,0.08512654727918295,0.18944806965562735,0.5231441349900245,True,0.0120239483540149,True
8,ACTN4,0.35977922970033543,3.5086331470520244,3.184637713373559e-10,0.16670845312866964,0.05679035354014141,0.24847013676165827,0.47108832263901257,True,1.0891460979737571e-07,True
11,ADAMTS1,0.0675976457210694,3.873108605079347,1.8978649682863646e-14,0.18839739289238472,0.008746815866754784,0.05045388662223002,0.08474140481990877,True,6.4906981915393664e-12,True
16,ADGRL4,0.3243398874682262,3.718403278907979,4.7922403530179865e-05,0.1278123991958814,0.07942987969514512,0.16865732326574176,0.48002245167071056,True,0.016389462007321515,True
17,ADM,0.4804751874422605,3.5714058325763847,7.917974775987155e-05,0.26348445865381226,0.1194158581396091,0.24642010548862664,0.7145302693958944,True,0.02707947373387607,True
26,ANGPT2,0.5577991197118861,3.5485002070772906,6.095995352332646e-06,0.290821373929835,0.12048095552403985,0.321656446884768,0.7939417925390042,True,0.002084830410497765,True
27,ANGPTL2,0.6901372506356499,3.662668388178257,0.00012095219170415935,0.2507820529923738,0.17642758894515337,0.3443391763031493,1.0359353249681504,True,0.041365649562822494,True
30,ANXA2,0.25796169350044923,3.6761394612312,2.1208373386605825e-07,0.13445832361886337,0.04948375106170206,0.1609735414195132,0.35494984558138526,True,7.253263698219192e-05,True
31,ANXA5,0.29726343868203975,3.5593652348799703,4.964132063616274e-07,0.13612350936507953,0.058838096674876245,0.18194076919928232,0.4125861081647972,True,0.00016977331657567658,True
33,AP2M1,0.43661165794855317,3.469791525022698,4.765240248503293e-10,0.17309701054008184,0.06957366997485788,0.3002472647978317,0.5729760510992746,True,1.6297121649881262e-07,True
36,APLNR,0.9072614376961552,3.599457065132444,6.500325306875484e-06,0.3334622698707869,0.19501383970414704,0.525034311876027,1.2894885635162834,True,0.0022231112549514157,True
37,APP,0.16890456300216694,3.3820842490532237,1.0390965840848273e-83,0.2915019666408835,0.008520084934294951,0.15220519653094883,0.18560392947338505,True,3.5537103175701094e-81,True
40,ARRDC3,0.4168478708256886,3.607811598049408,6.379257196040287e-06,0.18368690265523985,0.09152779025501523,0.23745340192585873,0.5962423397255184,True,0.002181705961045778,True
43,ATF4,0.18454337998646975,3.6663382316559536,5.5549538741126566e-05,0.09841455780583007,0.045663319036656214,0.09504327467462358,0.2740434852983159,True,0.018997942249465286,True
46,ATP5F1A,0.2892798378907324,3.5933002868738857,6.429711995968327e-05,0.11616902484120445,0.07212299496085058,0.1479187677674653,0.43064090801399957,True,0.02198961502621168,True
50,B2M,0.19808784255725087,3.384029148393726,4.8895874875020446e-54,0.23743613094346705,0.012612119646961795,0.17336808804920575,0.222807597065296,True,1.6722389207256993e-51,True
51,BCAM,0.19808650245559783,3.6947953796860693,6.913276393665986e-06,0.10709738414379325,0.0439217891215405,0.11199979577737845,0.2841732091338172,True,0.0023643405266337673,True
56,BHLHE40,0.43509702561645625,3.561824809578291,2.501884136669762e-12,0.2554990126199733,0.061061927551584225,0.3154156476153512,0.5547784036175614,True,8.556443747410587e-10,True
57,BMPR2,0.4321746405763718,3.479247204606329,6.556282473245339e-12,0.18390887047112606,0.062383012182406654,0.30990393669885474,0.5544453444538888,True,2.242248605849906e-09,True
61,CALCRL,0.4526162603901027,3.6749744645716502,1.4048762748502238e-17,0.2619745957564207,0.052079883295164636,0.35053968913158007,0.5546928316486254,True,4.804676859987765e-15,True
68,CCL14,0.15513967410672752,3.5533680021481446,6.788352601870229e-15,0.22063403672624637,0.019667403681969654,0.116591562890067,0.19368778532338804,True,2.3216165898396186e-12,True
72,CCL5,0.10667845524197501,3.493562928625935,3.4459467113685164e-42,0.20216560916572118,0.007755619264010075,0.09147744148451527,0.12187946899943476,True,1.1785137752880327e-39,True
73,CCN1,0.18633416968567468,4.223229295809992,1.3832901833273682e-05,0.2565403592691494,0.042104772572519406,0.10380881544353665,0.2688595239278127,True,0.004730852426979599,True
79,CD109,0.3875232893934706,3.5521899759538855,6.494570458859634e-05,0.16520348598901474,0.09631233125251996,0.19875112013853147,0.5762954586484097,True,0.022211430969299947,True
80,CD34,0.3223001160189898,3.490602481525572,3.5171695105545044e-17,0.18403517620648707,0.03790821288479758,0.24800001876478653,0.39660021327319306,True,1.2028719726096404e-14,True
84,CD59,0.19042131275419302,3.6541158407061545,7.135220412189901e-06,0.10202097910455994,0.04229735757408202,0.10751849190899226,0.2733241335993938,True,0.0024402453809689462,True
85,CD93,0.3762896760818819,3.555104902678975,8.281821902494642e-24,0.2397596812633047,0.036846165520854665,0.30407119166100677,0.44850816050275705,True,2.8323830906531675e-21,True
86,CD99,0.3793552060652849,3.5131195086491154,1.5811140078015475e-12,0.17747961763165493,0.053240992885989206,0.2750028600087461,0.4837075521218237,True,5.407409906681293e-10,True
93,CDKN1A,0.18052889442135728,3.5969875795156727,4.28169739896078e-12,0.1733722070116515,0.02585685997373566,0.1298494488728354,0.23120833996987916,True,1.464340510444587e-09,True
