,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
3,ACTA2,0.10565812490411287,3.485301264223638,1.797771186402242e-08,0.10279033467104323,0.018714227235593912,0.0689782395223488,0.14233801028587695,True,4.907915338878121e-06,True
8,ADAMTS2,0.45589705669041836,3.4284357056755206,5.986374527082774e-07,0.1619494556615581,0.09070152753703943,0.2781220627178211,0.6336720506630156,True,0.00016342802458935973,True
9,ADAMTS4,0.32748853208276285,3.6517917517224667,6.466481186632793e-08,0.2446251313262626,0.059621981133057916,0.21062944906196934,0.44434761510355636,True,1.7653493639507524e-05,True
12,ADGRA2,0.22568049329030382,3.4373498899634387,2.3044856955666163e-05,0.09707728780831404,0.05317958966175229,0.12144849755326934,0.3299124890273383,True,0.006291245948896862,True
16,AEBP1,0.41197535013107955,3.2661817416659518,3.607725368982531e-27,0.25192132129794587,0.03753207574710716,0.33841248166674953,0.4855382185954096,True,9.84909025732231e-25,True
22,ANO1,0.20006194425968707,3.378336187868599,4.1693094534173245e-12,0.13298529199507253,0.028732146069593564,0.1437469379632837,0.25637695055609044,True,1.1382214807829296e-09,True
23,ANXA2,0.41558812293146047,3.231019052397359,3.288401314535769e-05,0.12969350757869225,0.09963245760127389,0.22030850603296365,0.6108677398299573,True,0.00897733558868265,True
24,ANXA5,0.22152827098365263,3.3410992031709257,5.787222515898679e-10,0.11947152838945693,0.035620993012003145,0.15171112468012649,0.2913454172871788,True,1.5799117468403392e-07,True
26,AP2M1,0.2209804710150397,3.3901666848182965,0.00016064959145975082,0.08595876850179154,0.05843722563104849,0.10644350877818468,0.33551743325189476,True,0.043857338468511975,True
27,APCDD1,0.24044656060559338,3.4846004172947618,2.353577202550839e-07,0.12255499550608728,0.0463346586130354,0.149630629724044,0.33126249148714276,True,6.42526576296379e-05,True
31,APP,0.1553678111971501,3.4109581839323178,2.7541524368502696e-19,0.14227817826305128,0.01721565740334848,0.12162512268658708,0.1891104997077131,True,7.518836152601235e-17,True
36,ASPN,0.1931518628062552,3.327843944324822,3.120848659269691e-17,0.15935906033230657,0.022730978242040845,0.14859914545185515,0.23770458016065527,True,8.519916839806258e-15,True
38,ATF4,0.1822677849967437,3.406411502460627,7.1516287662374655e-06,0.09129990628892146,0.040512933223035064,0.10286243587959498,0.2616731341138924,True,0.001952394653182828,True
45,B2M,0.16925778287188847,3.339319193520113,2.389375924203583e-18,0.1454222416363808,0.019267292318013274,0.13149388992858246,0.20702167581519448,True,6.522996273075781e-16,True
51,BMPR2,0.4799139107984033,3.256794685094964,8.787075087026058e-06,0.1402557483165517,0.10740312161978614,0.26940379242362245,0.6904240291731841,True,0.0023988714987581137,True
69,CCDC80,0.3719425967597439,3.2881539166449465,4.7084096258670975e-07,0.15011640145637212,0.07339319612844772,0.22809193234798636,0.5157932611715015,True,0.00012853958278617178,True
71,CCL19,0.09315492983338992,3.5955645840895154,5.886307158239443e-06,0.23306328165352128,0.020261916654858148,0.053441573189867954,0.1328682864769119,True,0.001606961854199368,True
73,CCL5,0.05686841186269216,3.385080706915082,2.209590732899314e-19,0.11012001300090671,0.006297575833007998,0.04452516322999649,0.06921166049538784,True,6.032182700815127e-17,True
74,CCN1,0.2088419528524116,3.615022597196158,1.8034355460217493e-11,0.2490444336058899,0.030565719292347714,0.14893314303941008,0.26875076266541315,True,4.923379040639376e-09,True
75,CCN2,0.1478959869659636,3.4543028286334674,2.2666849213427396e-29,0.228804263470259,0.012966431982806049,0.12248178027966374,0.17331019365226344,True,6.188049835265679e-27,True
77,CCN4,0.3486175494301461,3.5079132893020217,1.5932493632909772e-05,0.1491751376836384,0.08030652373223382,0.19121676291496784,0.5060183359453244,True,0.004349570761784368,True
78,CCND2,0.1998110954263388,3.375305646715498,3.152098000424057e-05,0.09634864884767667,0.047887913083102654,0.1059507857834576,0.29367140506921996,True,0.008605227541157676,True
87,CD99,0.1772518651000183,3.4122912378047947,0.00015235600208337923,0.07796352856222515,0.04672662859533975,0.0856676730531524,0.2688360571468842,True,0.04159318856876253,True
90,CDH11,0.25888319806365956,3.5982436376002718,2.709687264523012e-05,0.11178681414118544,0.06148420836261326,0.1383741496729376,0.3793922464543815,True,0.007397446232147823,True
94,CDKN2B,0.573504830533377,3.1977292096856,1.651491766683523e-05,0.2207187425305514,0.1313957502332496,0.3159691600762078,0.8310405009905462,True,0.004508572523046018,True
99,CKAP4,0.4768551082139364,3.400073903466318,2.1457217190340433e-06,0.1633445002988161,0.09990999020153031,0.281031527418937,0.6726786890089358,True,0.0005857820292962938,True
105,COL18A1,0.24148905269460713,3.3460455773166085,6.692472034617739e-21,0.1730330275090938,0.025551616493045572,0.1914078843682378,0.29157022102097646,True,1.8270448654506425e-18,True
