,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
2,ABCC4,0.16736992691741448,2.615200014294914,8.210218982760245e-11,0.09492948018527479,0.02570264986500911,0.11699273318199663,0.21774712065283233,True,4.4088875937422515e-08,True
3,ACACA,0.2243352485234252,2.7684209752486426,2.387645242085867e-09,0.09582172088675371,0.03749455331866229,0.1508459240188471,0.2978245730280033,True,1.2821654950001106e-06,True
5,ACLY,0.24061725456116956,2.7316408680425073,1.506780479884834e-08,0.09650797989306568,0.04240346174502472,0.15750646954092112,0.323728039581418,True,8.091411176981558e-06,True
6,ACPP,0.06063432265239141,2.4868590708012315,3.4275896753838763e-43,0.12669931973785215,0.004382724135274945,0.05204418334725252,0.0692244619575303,True,1.8406156556811416e-40,True
7,ACVR1B,0.386407776773413,2.6125514377332832,9.166718334026836e-05,0.1056367956622406,0.09848875728005854,0.19336981250449825,0.5794457410423277,True,0.049225277453724105,True
8,ADAM10,0.17945378923017272,2.796638106578274,7.955766429258125e-06,0.07844816388213934,0.040113789935213334,0.10083076095715458,0.25807681750319084,True,0.004272246572511613,True
9,ADAM9,0.2531791964475827,2.7821802076676674,1.886151103232631e-08,0.09753930641468717,0.04492162371451129,0.16513281396714058,0.3412255789280248,True,1.0128631424359229e-05,True
16,AHCY,0.26496730117248624,2.848828314327201,2.2222110552629713e-13,0.11962426848600491,0.03599267916061168,0.19442165001768735,0.3355129523272851,True,1.1933273366762157e-10,True
19,AKT1,0.2932468505208912,2.7661114083221983,1.4450358165533972e-14,0.12292108882025951,0.03797463787006346,0.21881656029556684,0.3676771407462156,True,7.759842334891744e-12,True
21,ALCAM,0.41112926155521895,2.6039802951853734,1.287695230723638e-14,0.13700903409606893,0.053087893536170376,0.307076990224325,0.5151815328861129,True,6.9149233889859356e-12,True
22,ALDH3A2,0.3390574579279928,2.760760440029989,4.0844452320052494e-08,0.11445035172556325,0.06158074524321419,0.218359197251293,0.4597557186046926,True,2.193347089586819e-05,True
26,AMACR,0.15918854695490953,3.111456184710697,5.638233612431384e-23,0.16693578513884397,0.016014170627786255,0.12780077252444846,0.1905763213853706,True,3.027731449875653e-20,True
28,ANPEP,-0.04673028803090576,2.5213833243493124,1.0023964952299519e-06,-0.05481364493147341,0.009546528869087152,-0.06544148461431658,-0.028019091447494943,True,0.0005382869179384841,True
32,ANXA5,0.39810528524997363,2.6663821912260066,7.754439217055903e-26,0.16744121723675337,0.037606682514514926,0.3243961875215244,0.4718143829784229,True,4.16413385955902e-23,True
34,AP2M1,0.3270939404160945,2.822377285695651,2.879716864429664e-10,0.11455484436256398,0.05170200035263498,0.22575801972492995,0.4284298611072591,True,1.5464079561987294e-07,True
36,APEX1,0.44472586316231266,2.8485126115529362,1.6116957584490252e-12,0.15392049210519196,0.06256754464097222,0.3220934756660071,0.5673582506586182,True,8.654806222871265e-10,True
37,APMAP,0.37739537334227247,2.825114750676502,8.916635489409656e-10,0.12737500538895033,0.06133020827992018,0.2571881651136289,0.497602581570916,True,4.788233257812985e-07,True
39,APP,0.12422085857333251,2.729812300828539,3.669294827001179e-54,0.16880692122409707,0.007958010700189106,0.10862315760096186,0.13981855954570316,True,1.970411322099633e-51,True
