,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
1,ADAMTS1,0.2486686415385262,2.2598096932820098,0.00019873004329332166,0.25523120852164377,0.06563360120887513,0.12002678316913096,0.3773104999079214,True,0.02523871549825185,True
2,ADGRE5,0.2892282052560867,2.1744989305426685,1.574166792807916e-05,0.17885438793519556,0.06640874416246646,0.15906706669765247,0.419389343814521,True,0.001999191826866053,True
7,ANXA5,0.42860470521110716,2.11246438932476,1.306457131750424e-05,0.21631359877019712,0.09708939502101717,0.23830949096991352,0.6188999194523008,True,0.0016592005573230384,True
9,APP,0.21826943323706594,2.396676567996297,0.00020285490329131965,0.1770377924308499,0.05824614943381364,0.1041069803467912,0.33243188612734065,True,0.025762572717997596,True
13,ATF4,0.2863236301722562,2.266112351117616,1.1602922028950705e-06,0.21334603974406835,0.058173468012135486,0.17230363286847067,0.40034362747604174,True,0.00014735710976767396,True
14,ATP1A1,0.44148720776052663,2.1941365505398704,0.00028382207734651524,0.186410418295588,0.12047964871319847,0.20534709628265765,0.6776273192383956,True,0.03604540382300744,True
16,B2M,0.15287825431781008,2.1241140993032896,9.900547906639923e-26,0.21375936896767897,0.014406083803224905,0.12464233006348927,0.18111417857213089,True,1.2573695841432701e-23,True
22,CANX,0.5591908767545751,2.0655914986648796,7.981529378080888e-05,0.1989116716637901,0.1402296835108441,0.28434069707332066,0.8340410564358296,True,0.010136542310162727,True
27,CCL5,0.14025858204215438,2.000700539826199,8.499056751083006e-63,0.30759842032091,0.008177534071528705,0.12423061526195812,0.15628654882235066,True,1.0793802073875418e-60,True
28,CCN1,0.1622917519922559,2.5320358843836273,1.7322772247278843e-06,0.3036055705636059,0.033083640116481364,0.09744781736395243,0.22713568662055938,True,0.0002199992075404413,True
33,CD3E,0.155264996673628,2.1720064937423693,1.0246055527696348e-05,0.11811366587102304,0.035062354672127705,0.0865427815162577,0.2239872118309983,True,0.0013012490520174361,True
34,CD44,0.15848900413293673,2.228722573151057,0.00038453279168717354,0.11395096778533073,0.04448149520192747,0.07130527353715889,0.2456727347287146,True,0.04883566454427104,True
39,CD8A,0.13141576000788677,2.0307661781906265,2.189978219654341e-14,0.2484964888332655,0.01692538776139567,0.09824199999555125,0.16458952002022229,True,2.781272338961013e-12,True
41,CD99,0.4126245334162118,2.0726422351008615,5.333123261189439e-06,0.181916168161367,0.08986397648524354,0.23649113950513448,0.5887579273272892,True,0.0006773066541710588,True
45,CDKN1B,0.21411916393253858,2.2378240639952667,2.769903331815695e-07,0.1637448420853889,0.04137643480646506,0.13302135171186708,0.2952169761532101,True,3.517777231405932e-05,True
56,CTLA4,0.12715880867053952,2.233577878595209,1.2598561599044824e-05,0.1772368253724069,0.028874284949975983,0.0705652101685866,0.18375240717249244,True,0.0016000173230786927,True
60,CXCR4,0.15353745735224678,2.0610683589026615,7.427474963558323e-28,0.23431213172301557,0.013835345866109593,0.126420179454672,0.18065473524982156,True,9.43289320371907e-26,True
66,DNAJC10,0.5867939236672164,2.0306655633035584,3.715176770617496e-10,0.3903207834200486,0.08971884115977295,0.4109449949940614,0.7626428523403714,True,4.71827449868422e-08,True
69,EEF1G,0.10823485099932141,2.04857491352584,1.1383146318703315e-73,0.32587021955388656,0.0057941901252889305,0.09687823835375511,0.11959146364488771,True,1.445659582475321e-71,True
72,EIF3C,0.3887537335305316,2.161706102850789,2.246825361840151e-06,0.19973663975443226,0.08131954064452042,0.2293674338672716,0.5481400331937916,True,0.0002853468209536992,True
73,EIF4A1,0.37673606530589004,2.173888167648353,5.2902938321645666e-05,0.17905101787317984,0.09239169357066827,0.19564834590738023,0.5578237847043999,True,0.0067186731668489996,True
74,EIF4G1,0.6730321904739635,1.925474779977265,1.1892438752875603e-06,0.28749138397047225,0.13545746616878032,0.407535556783154,0.9385288241647729,True,0.00015103397216152016,True
79,EWSR1,0.4474976153289097,2.1079581654886206,8.781184273036196e-06,0.19246268632909722,0.09967408031872003,0.2521364179042184,0.642858812753601,True,0.001115210402675597,True
91,GOLPH3,0.36796305189600115,2.196624784614207,2.3511384132282803e-07,0.23496566032511873,0.07013862835822185,0.23049134031388632,0.505434763478116,True,2.985945784799916e-05,True
97,H3F3B,0.2710052646156343,2.2148398540883254,7.160308039911471e-10,0.19048706678422422,0.043560204770103125,0.18562726326623216,0.35638326596503644,True,9.093591210687568e-08,True
101,HLA-A,0.1577320704360378,2.287233110913394,0.00026152122734007544,0.10830628804419974,0.043069007254096195,0.07331681621800926,0.24214732465406633,True,0.03321319587218958,True
102,HLA-B,0.14301084418273052,2.211379858172243,5.997037813149085e-11,0.15284456682416167,0.021722349500728325,0.100435039161303,0.18558664920415804,True,7.616238022699338e-09,True
103,HLA-C,0.30450122283752795,2.1257394127036586,2.044337624825235e-07,0.17355510940900915,0.05814735700906693,0.19053240309975678,0.41847004257529913,True,2.5963087835280484e-05,True
105,HLA-E,0.09523965219178673,2.302176893795866,0.0002850359613787185,0.09396772334963488,0.026184842018371873,0.043917361835777866,0.1465619425477956,True,0.03619956709509725,True
106,HNRNPA1L2,0.18475119190237374,2.2150746218603192,3.490367151172431e-06,0.13955430091561224,0.03961559746179911,0.1071046208772475,0.2623977629275,True,0.0004432766281988987,True
107,HNRNPD,0.29577069966879654,2.232426883406396,5.589017674565941e-07,0.17828171415091232,0.05860079821111446,0.1809131351750122,0.4106282641625809,True,7.098052446698745e-05,True
108,HNRNPH1,0.2616546937679828,2.2656193774108915,4.5312884406322565e-08,0.17545352594284258,0.0474592380754704,0.1686345871400608,0.35467480039590477,True,5.754736319602966e-06,True
110,HOXB7,0.1693774239938536,2.199590405385241,0.00018790600318705723,0.11561565076761597,0.04518843914475794,0.08080808327012805,0.25794676471757916,True,0.02386406240475627,True
111,HSPA8,0.34793636808083966,2.1048600815808105,5.049403354662897e-14,0.24430694635858588,0.04548152599967284,0.2587925771214809,0.4370801590401984,True,6.41274226042188e-12,True
127,IL7R,0.08018017193994757,2.2289367045004744,3.451298074866777e-05,0.1110384222287143,0.019296948834228708,0.04235815222485931,0.11800219165503584,True,0.004383148555080807,True
137,KLK3,0.05338760329331452,2.551752499376747,6.926674128202424e-16,0.2904054486292219,0.006466779226792099,0.040712716008802004,0.06606249057782704,True,8.796876142817078e-14,True
147,LDHA,0.34516677368591747,2.255582714670959,1.4105557943046673e-05,0.1866888717976059,0.07875017508670781,0.19081643051597016,0.49951711685586475,True,0.0017914058587669274,True
156,MSN,0.3960330783925736,2.104525045621425,7.877414466480933e-06,0.1756015204881358,0.08790053346703781,0.2237480327971795,0.5683181239879678,True,0.0010004316372430784,True
163,NDRG1,0.47774213021775686,2.201893098801618,6.823271004333283e-14,0.40964064055324756,0.06081941302429917,0.3585360806901305,0.5969481797453833,True,8.665554175503269e-12,True
166,NKX3-1,0.2225397945022028,2.6577514624934353,2.1869856391250758e-05,0.34128675191149993,0.050724858147680935,0.12311907253274816,0.3219605164716574,True,0.0027774717616888462,True
167,NORAD,0.41140794659000846,2.096436718731637,0.00027833133517292966,0.17188731424169446,0.11227865484650022,0.19134178309086802,0.6314741100891489,True,0.035348079566962065,True
