,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
0,ACPP,-0.09659597845900221,3.7163662185975013,0.00010712749793595455,-0.08951025280751981,0.02488190531806709,-0.1453645128824137,-0.047827444035590715,True,0.026567619488116728,True
16,ANXA1,0.16801170074209218,3.5933366088638525,7.341361865807305e-08,0.1255159836760942,0.031085712859006954,0.10708370353843855,0.2289396979457458,True,1.8206577427202117e-05,True
17,ANXA2,0.19069026026113367,3.5538349446573894,1.0705733140374446e-30,0.1809611890495193,0.016417195158854776,0.15851255774977832,0.22286796277248902,True,2.6550218188128627e-28,True
18,ANXA5,0.1714544358138499,3.566481347268528,5.967434010043884e-05,0.08770825719688741,0.0426255606501519,0.08790833693955218,0.2550005346881476,True,0.014799236344908831,True
23,APP,0.09451585659378839,3.589820382363164,9.186936728006826e-13,0.09876858899185724,0.013200441567433389,0.06864299112161895,0.12038872206595783,True,2.2783603085456927e-10,True
29,ATF3,0.06741552068714728,3.628370447085484,7.014172722977772e-06,0.08304337500665379,0.01497647409110587,0.03806163146857977,0.09676940990571478,True,0.0017395148352984874,True
30,ATF4,0.1101341614510655,3.6131743832480603,3.2138842903241996e-06,0.07427767612418262,0.0236167075746536,0.06384541460474444,0.15642290829738656,True,0.0007970433040004014,True
32,ATP1A1,0.14864093432150602,3.5894167390066767,3.7368932969277204e-16,0.12008187386522995,0.01817811668194763,0.11301182562488866,0.1842700430181234,True,9.267495376380746e-14,True
35,ATP5F1A,0.1277208186026325,3.647224157125284,2.292724330300274e-05,0.07345986418643143,0.03012037289946038,0.06868488771969017,0.18675674948557486,True,0.00568595633914468,True
38,B2M,0.1602105800400461,3.5917938841227763,1.0645783839871006e-12,0.11686351907780264,0.02241670984719926,0.11627382873953555,0.20414733134055663,True,2.6401543922880094e-10,True
44,BHLHE40,0.18280040923649818,3.7196707909289035,3.291742595269155e-05,0.10922756260437481,0.04388440845128205,0.09678696867198536,0.268813849801011,True,0.008163521636267506,True
50,CANX,0.24933202241137423,3.5118744510020683,4.088537169377756e-09,0.11661670765638571,0.042250053371138144,0.1665219178039435,0.33214212701880497,True,1.0139572180056836e-06,True
57,CCL5,0.02164714048905376,3.611880585209776,3.583513935446065e-05,0.0434286615749582,0.005235255210553438,0.011386040276369023,0.0319082407017385,True,0.008887114559906241,True
58,CCN1,0.09685939574127164,3.4827316116821527,5.999401106455176e-05,0.11887225402533447,0.024046270864668526,0.04972870484652133,0.14399008663602195,True,0.014878514744008838,True
61,CCND1,0.2369939014103501,3.607512353813791,2.669579184735315e-07,0.14244574748387748,0.04581471826285563,0.14719705361515306,0.3267907492055471,True,6.620556378143581e-05,True
64,CCT3,0.19822257204298732,3.5915566934812815,0.00010361911242384512,0.0866291520492861,0.05096003861377489,0.09834089635998854,0.2981042477259861,True,0.02569753988111359,True
