,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
11,ABL2,0.24801255416647852,5.301129400258217,1.639844631836254e-05,0.08244300498222867,0.057453312809210164,0.1354040610604266,0.3606210472725304,True,0.012348030077726991,True
14,ACE,0.13791342098267292,5.3522552722608285,5.325578547472848e-07,0.08931041143035476,0.027447363273827435,0.08411658896597116,0.1917102529993747,True,0.0004010160646247054,True
19,ACTA2,0.05240686862639453,5.128250550425222,8.090132191087245e-08,0.058152060245105205,0.009759536186645037,0.03327817770057026,0.0715355595522188,True,6.0918695398886954e-05,True
21,ACTN4,0.18329478310289887,5.129044072593638,3.284257747099898e-18,0.09757899563893563,0.021014459727373733,0.14210644203724637,0.22448312416855137,True,2.473046083566223e-15,True
26,ADAM10,0.2690197398327312,5.153725507690194,2.180019036259219e-06,0.0826971824052308,0.0567016689745421,0.15788446864262867,0.3801550110228337,True,0.001641554334303192,True
28,ADAMTS1,0.03177123619984088,4.979367083453345,3.9199624416339966e-113,0.18508668082101387,0.0013932772320519222,0.029040412825019114,0.03450205957466265,True,2.9517317185503996e-110,True
30,ADAMTS4,0.10224220949537295,5.219808234459183,2.2734453589340128e-21,0.12393228342869979,0.010729658171319604,0.08121207947958653,0.12327233951115937,True,1.7119043552773117e-18,True
32,ADAR,0.26634161619903013,5.0999394425257245,7.467362669271972e-09,0.08683013165567154,0.045989621881149204,0.17620195731197769,0.35648127508608257,True,5.622924089961795e-06,True
33,ADD1,0.2499914337795035,5.060203464062637,2.0343705052711883e-16,0.109132471970984,0.030320046121047557,0.1905641433822503,0.3094187241767567,True,1.5318809904692048e-13,True
34,ADGRA2,0.20477299763618467,5.086828419667776,2.332132928730912e-06,0.07932786201064512,0.04329166746397183,0.11992132940679988,0.28962466586556945,True,0.0017560960953343769,True
37,ADGRL4,0.24024182076419315,5.201512653503011,3.0947796248076807e-15,0.10981064853501513,0.030366573314251924,0.18072333706825938,0.2997603044601269,True,2.3303690574801835e-12,True
39,ADM,0.12085611655665865,5.0809092978873425,2.178808261625332e-28,0.1871920050521015,0.01083849361067797,0.09961266907972983,0.14209956403358748,True,1.640642621003875e-25,True
47,AFF1,0.13739802601233242,5.222024692084044,5.757913715300987e-05,0.05601657445558064,0.03412872406129709,0.07050572685219011,0.20429032517247472,True,0.04335709027621643,True
49,AHR,0.29644774147277575,5.201353046653772,1.0402244912356197e-10,0.10915737731285517,0.04574202598338231,0.2067933705453464,0.3861021124002051,True,7.832890419004216e-08,True
67,ALPL,0.26676543729754226,5.237342231260677,3.3851710202767226e-07,0.13707865225973978,0.05204314565261506,0.16476087181841675,0.36877000277666777,True,0.0002549033778268372,True
72,ANGPTL4,0.32361027156193783,5.268119194846316,4.933814065616051e-06,0.1747753754806258,0.0702745427784595,0.18587216771615722,0.46134837540771845,True,0.0037151619914088867,True
76,ANO1,0.15682498491658947,5.1341438649907465,2.2381933844629882e-08,0.08938959570300394,0.02798398629616284,0.1019763717761103,0.21167359805706865,True,1.68535961850063e-05,True
79,ANXA2,0.3022835001575166,4.98255363537557,1.240128780005964e-69,0.19392623989510516,0.016972907054916903,0.26901660232987945,0.33555039798515374,True,9.33816971344491e-67,True
80,ANXA5,0.13639328139250628,5.165964020947801,1.1161696442919595e-07,0.06327127206039933,0.02567532119128808,0.08606965185758164,0.18671691092743092,True,8.404757421518455e-05,True
81,AOC3,0.1211719107880508,5.140972628336194,1.0602742733369973e-07,0.07935642828363688,0.02275621653778276,0.07656972637399659,0.165774095202105,True,7.98386527822759e-05,True
84,AP2M1,0.15370525034571467,5.142097755299625,9.772772099601178e-11,0.07338341176653786,0.02372222277396517,0.10720969370874293,0.20020080698268639,True,7.358897390999687e-08,True
85,APCDD1,0.28533708672771735,4.989621798696675,1.2969746652953982e-06,0.09889877194574166,0.058800339446874496,0.17008842141184333,0.40058575204359137,True,0.000976621922967435,True
93,APP,0.10799483922556076,4.898179452149735,1.7022050520101062e-143,0.19571864948774123,0.00419279797111685,0.09977695520217174,0.11621272324894978,True,1.28176040416361e-140,True
96,ARF1,0.16781585617790296,5.1509731654269615,8.401793955409128e-06,0.05989061006115435,0.03763625929938666,0.0940487879511051,0.2415829244047008,True,0.006326550848423073,True
103,ARRDC3,0.22587863085779228,5.110029000250436,4.5023637947192685e-30,0.15266687518256758,0.019707460611673,0.1872520080589132,0.2645052536566714,True,3.390279937423609e-27,True
107,ATF4,0.12991523452227413,5.092028032781526,6.828899852249996e-16,0.08223280486614523,0.016063778039673907,0.09843022956451328,0.16140023948003498,True,5.142161588744248e-13,True
